13076,"SELECT DISTINCT s.instrument, s.run2d, s.plate, s.mjd, s.fiberID FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-04-14 00:00:00,11
2019-04-14 00:01:00,11
2019-04-14 00:02:00,11
2019-04-14 00:03:00,10
2019-04-14 00:04:00,11
2019-04-14 00:05:00,10
2019-04-14 00:06:00,10
2019-04-14 00:07:00,11
2019-04-14 00:08:00,10
2019-04-14 00:09:00,8
2019-04-14 00:10:00,3
2019-04-14 00:11:00,7
2019-04-14 00:12:00,8
2019-04-14 00:13:00,7
2019-04-14 00:14:00,8
2019-04-14 00:15:00,8
2019-04-14 00:16:00,7
2019-04-14 00:17:00,7
2019-04-14 00:18:00,10
2019-04-14 00:19:00,6
2019-04-14 00:20:00,9
2019-04-14 00:21:00,3
2019-04-14 00:22:00,7
2019-04-14 00:23:00,8
2019-04-14 00:24:00,8
2019-04-14 00:25:00,6
2019-04-14 00:26:00,9
2019-04-14 00:27:00,4
2019-04-14 00:28:00,8
2019-04-14 00:29:00,10
2019-04-14 00:30:00,10
2019-04-14 00:31:00,11
2019-04-14 00:32:00,12
2019-04-14 00:33:00,11
2019-04-14 00:34:00,10
2019-04-14 00:35:00,11
2019-04-14 00:36:00,9
2019-04-14 00:37:00,10
2019-04-14 00:38:00,10
2019-04-14 00:39:00,9
2019-04-14 00:40:00,8
2019-04-14 00:41:00,9
2019-04-14 00:42:00,7
2019-04-14 00:43:00,9
2019-04-14 00:44:00,9
2019-04-14 00:45:00,9
2019-04-14 00:46:00,4
2019-04-14 00:47:00,8
2019-04-14 00:48:00,4
2019-04-14 00:49:00,7
2019-04-14 00:50:00,6
2019-04-14 00:51:00,8
2019-04-14 00:52:00,6
2019-04-14 00:53:00,3
2019-04-14 00:54:00,4
2019-04-14 00:55:00,3
2019-04-14 00:56:00,4
2019-04-14 00:57:00,10
2019-04-14 00:58:00,9
2019-04-14 00:59:00,6
2019-04-14 01:00:00,5
2019-04-14 01:01:00,6
2019-04-14 01:02:00,5
2019-04-14 01:03:00,5
2019-04-14 01:04:00,2
2019-04-14 01:05:00,3
2019-04-14 01:06:00,3
2019-04-14 01:07:00,5
2019-04-14 01:08:00,11
2019-04-14 01:09:00,12
2019-04-14 01:10:00,12
2019-04-14 01:11:00,6
2019-04-14 01:12:00,9
2019-04-14 01:13:00,11
2019-04-14 01:14:00,4
2019-04-14 01:15:00,6
2019-04-14 01:16:00,13
2019-04-14 01:17:00,12
2019-04-14 01:18:00,13
2019-04-14 01:19:00,9
2019-04-14 01:20:00,11
2019-04-14 01:21:00,12
2019-04-14 01:22:00,11
2019-04-14 01:23:00,11
2019-04-14 01:24:00,12
2019-04-14 01:25:00,11
2019-04-14 01:26:00,11
2019-04-14 01:27:00,8
2019-04-14 01:28:00,6
2019-04-14 01:29:00,6
2019-04-14 01:30:00,5
2019-04-14 01:31:00,5
2019-04-14 01:32:00,4
2019-04-14 01:33:00,4
2019-04-14 01:34:00,6
2019-04-14 01:35:00,6
2019-04-14 01:36:00,5
2019-04-14 01:37:00,8
2019-04-14 01:38:00,11
2019-04-14 01:39:00,9
2019-04-14 01:40:00,12
2019-04-14 01:41:00,7
2019-04-14 01:42:00,5
2019-04-14 01:43:00,8
2019-04-14 01:44:00,9
2019-04-14 01:45:00,12
2019-04-14 01:46:00,12
2019-04-14 01:47:00,12
2019-04-14 01:48:00,12
2019-04-14 01:49:00,12
2019-04-14 01:50:00,12
2019-04-14 01:51:00,10
2019-04-14 01:52:00,11
2019-04-14 01:53:00,11
2019-04-14 01:54:00,11
2019-04-14 01:55:00,8
2019-04-14 01:56:00,10
2019-04-14 01:57:00,10
2019-04-14 01:58:00,10
2019-04-14 01:59:00,9
2019-04-14 02:00:00,8
2019-04-14 02:01:00,9
2019-04-14 02:02:00,8
2019-04-14 02:03:00,11
2019-04-14 02:04:00,7
2019-04-14 02:05:00,1
2019-04-14 02:06:00,4
2019-04-14 02:07:00,4
2019-04-14 02:08:00,1
2019-04-14 02:09:00,12
2019-04-14 02:10:00,11
2019-04-14 02:11:00,11
2019-04-14 02:12:00,11
2019-04-14 02:13:00,11
2019-04-14 02:14:00,10
2019-04-14 02:15:00,10
2019-04-14 02:16:00,10
2019-04-14 02:17:00,11
2019-04-14 02:18:00,10
2019-04-14 02:19:00,9
2019-04-14 02:20:00,9
2019-04-14 02:21:00,11
2019-04-14 02:22:00,12
2019-04-14 02:23:00,10
2019-04-14 02:24:00,11
2019-04-14 02:25:00,11
2019-04-14 02:26:00,10
2019-04-14 02:27:00,9
2019-04-14 02:28:00,11
2019-04-14 02:29:00,11
2019-04-14 02:30:00,10
2019-04-14 02:31:00,11
2019-04-14 02:32:00,10
2019-04-14 02:33:00,11
2019-04-14 02:34:00,11
2019-04-14 02:35:00,11
2019-04-14 02:36:00,10
2019-04-14 02:37:00,10
2019-04-14 02:38:00,11
2019-04-14 02:39:00,11
2019-04-14 02:40:00,9
2019-04-14 02:41:00,11
2019-04-14 02:42:00,8
2019-04-14 02:43:00,7
2019-04-14 02:44:00,9
2019-04-14 02:45:00,10
2019-04-14 02:46:00,9
2019-04-14 02:47:00,9
2019-04-14 02:48:00,9
2019-04-14 02:49:00,10
2019-04-14 02:50:00,8
2019-04-14 02:51:00,9
2019-04-14 02:52:00,10
2019-04-14 02:53:00,10
2019-04-14 02:54:00,10
2019-04-14 02:55:00,9
2019-04-14 02:56:00,10
2019-04-14 02:57:00,10
2019-04-14 02:58:00,10
2019-04-14 02:59:00,10
2019-04-14 03:00:00,10
2019-04-14 03:01:00,10
2019-04-14 03:02:00,11
2019-04-14 03:03:00,9
2019-04-14 03:04:00,9
2019-04-14 03:05:00,11
2019-04-14 03:06:00,7
2019-04-14 03:07:00,9
2019-04-14 03:08:00,10
2019-04-14 03:09:00,8
2019-04-14 03:10:00,9
2019-04-14 03:11:00,3
2019-04-14 03:21:00,2
2019-04-14 03:22:00,4
2019-04-14 03:23:00,6
2019-04-14 03:24:00,10
2019-04-14 03:25:00,12
2019-04-14 03:26:00,12
2019-04-14 03:27:00,12
2019-04-14 03:28:00,12
2019-04-14 03:29:00,12
2019-04-14 03:30:00,10
2019-04-14 03:31:00,10
2019-04-14 03:32:00,11
2019-04-14 03:33:00,10
2019-04-14 03:34:00,12
2019-04-14 03:35:00,11
2019-04-14 03:36:00,11
2019-04-14 03:37:00,11
2019-04-14 03:38:00,12
2019-04-14 03:39:00,12
2019-04-14 03:40:00,12
2019-04-14 03:41:00,7
2019-04-14 03:42:00,9
2019-04-14 03:43:00,11
2019-04-14 03:44:00,8
2019-04-14 03:45:00,11
2019-04-14 03:46:00,12
2019-04-14 03:47:00,11
2019-04-14 03:48:00,10
2019-04-14 03:49:00,8
2019-04-14 03:50:00,9
2019-04-14 03:51:00,10
2019-04-14 03:52:00,11
2019-04-14 03:53:00,12
2019-04-14 03:54:00,12
2019-04-14 03:55:00,13
2019-04-14 03:56:00,11
2019-04-14 03:57:00,10
2019-04-14 03:58:00,11
2019-04-14 03:59:00,10
2019-04-14 04:00:00,12
2019-04-14 04:01:00,12
2019-04-14 04:02:00,12
2019-04-14 04:03:00,9
2019-04-14 04:04:00,3
2019-04-14 04:05:00,5
2019-04-14 04:06:00,6
2019-04-14 04:07:00,4
2019-04-14 04:08:00,6
2019-04-14 04:09:00,5
2019-04-14 04:10:00,5
2019-04-14 04:11:00,5
2019-04-14 04:12:00,7
2019-04-14 04:13:00,9
2019-04-14 04:14:00,11
2019-04-14 04:15:00,13
2019-04-14 04:16:00,12
2019-04-14 04:17:00,11
2019-04-14 04:18:00,12
2019-04-14 04:19:00,8
2019-04-14 04:20:00,8
2019-04-14 04:21:00,7
2019-04-14 04:22:00,11
2019-04-14 04:23:00,12
2019-04-14 04:24:00,12
2019-04-14 04:25:00,12
2019-04-14 04:26:00,12
2019-04-14 04:27:00,10
2019-04-14 04:28:00,11
2019-04-14 04:29:00,10
2019-04-14 04:30:00,11
2019-04-14 04:31:00,11
2019-04-14 04:32:00,12
2019-04-14 04:33:00,6
2019-04-14 04:34:00,4
2019-04-14 04:35:00,9
2019-04-14 04:36:00,11
2019-04-14 04:37:00,11
2019-04-14 04:38:00,10
2019-04-14 04:39:00,10
2019-04-14 04:40:00,10
2019-04-14 04:41:00,10
2019-04-14 04:42:00,11
2019-04-14 04:43:00,11
2019-04-14 04:44:00,11
2019-04-14 04:45:00,9
