115,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-04-30 00:46:00,1
2019-04-30 01:08:00,2
2019-04-30 01:10:00,1
2019-04-30 01:20:00,1
2019-04-30 01:21:00,1
2019-04-30 01:23:00,1
2019-04-30 01:45:00,1
2019-04-30 02:45:00,1
2019-04-30 03:45:00,1
2019-04-30 04:23:00,9
2019-04-30 04:37:00,6
2019-04-30 04:38:00,3
2019-04-30 04:45:00,1
2019-04-30 04:49:00,6
2019-04-30 04:50:00,3
2019-04-30 05:07:00,1
2019-04-30 05:44:00,1
2019-04-30 06:17:00,9
2019-04-30 06:37:00,9
2019-04-30 06:45:00,1
2019-04-30 06:46:00,1
2019-04-30 06:49:00,1
2019-04-30 06:51:00,1
2019-04-30 06:54:00,1
2019-04-30 06:55:00,1
2019-04-30 06:57:00,9
2019-04-30 07:45:00,1
2019-04-30 08:45:00,1
2019-04-30 08:48:00,9
2019-04-30 09:07:00,9
2019-04-30 09:45:00,1
2019-04-30 10:26:00,1
2019-04-30 10:45:00,1
2019-04-30 11:46:00,1
2019-04-30 12:12:00,9
2019-04-30 12:23:00,9
