107,"select survey, run2d, plate,mjd, fiberID, specObjID from SpecObj where class = &&& and ra between # and # and dec between # and #"
2019-05-17 14:52:00,1
2019-05-17 15:01:00,1
2019-05-17 15:04:00,1
2019-05-17 15:18:00,1
2019-05-17 15:36:00,1
2019-05-17 15:37:00,1
2019-05-17 15:39:00,2
2019-05-17 15:40:00,6
2019-05-17 16:10:00,1
2019-05-17 16:40:00,1
2019-05-17 16:44:00,1
2019-05-17 16:47:00,1
2019-05-17 16:49:00,1
2019-05-17 16:50:00,1
2019-05-17 16:51:00,1
2019-05-17 16:52:00,3
2019-05-17 16:55:00,1
2019-05-17 16:56:00,1
2019-05-17 17:00:00,1
2019-05-17 17:01:00,1
2019-05-17 17:02:00,1
2019-05-17 17:03:00,1
2019-05-17 17:04:00,2
2019-05-17 17:06:00,1
2019-05-17 17:07:00,1
2019-05-17 17:20:00,2
2019-05-17 17:24:00,1
2019-05-17 17:25:00,1
2019-05-17 17:29:00,1
2019-05-17 17:30:00,1
2019-05-17 17:33:00,1
2019-05-17 17:34:00,1
2019-05-17 17:36:00,1
2019-05-17 17:38:00,1
2019-05-17 17:39:00,1
2019-05-17 17:42:00,1
2019-05-17 17:43:00,4
2019-05-17 17:45:00,1
2019-05-17 17:46:00,1
2019-05-17 17:47:00,2
2019-05-17 17:50:00,3
2019-05-17 17:51:00,1
2019-05-17 17:52:00,1
2019-05-17 17:53:00,3
2019-05-17 17:55:00,2
2019-05-17 18:01:00,2
2019-05-17 18:03:00,1
2019-05-17 18:05:00,2
2019-05-17 18:06:00,1
2019-05-17 18:10:00,1
2019-05-17 18:12:00,1
2019-05-17 18:13:00,1
2019-05-17 18:17:00,1
2019-05-17 18:22:00,1
2019-05-17 18:27:00,1
2019-05-17 18:28:00,1
2019-05-17 18:31:00,1
2019-05-17 18:33:00,2
2019-05-17 18:34:00,1
2019-05-17 18:37:00,1
2019-05-17 19:53:00,1
2019-05-17 21:20:00,1
2019-05-17 22:36:00,1
2019-05-17 22:37:00,2
2019-05-17 22:38:00,1
2019-05-17 22:41:00,1
2019-05-17 22:43:00,2
2019-05-17 22:44:00,3
2019-05-17 22:45:00,1
2019-05-17 22:47:00,1
2019-05-17 22:49:00,1
2019-05-17 22:50:00,1
2019-05-17 22:51:00,2
2019-05-17 22:52:00,1
2019-05-17 22:54:00,1
2019-05-17 22:58:00,2
2019-05-17 23:57:00,1
2019-05-17 23:59:00,2
