226,SELECT TOP #
2019-07-02 06:00:00,1
2019-07-02 19:29:00,4
2019-07-02 19:42:00,4
2019-07-02 19:51:00,4
2019-07-02 19:58:00,4
2019-07-02 20:04:00,4
2019-07-02 20:09:00,3
2019-07-02 20:10:00,1
2019-07-02 20:14:00,4
2019-07-02 20:19:00,4
2019-07-02 20:38:00,4
2019-07-02 20:44:00,3
2019-07-02 20:45:00,1
2019-07-02 20:51:00,4
2019-07-02 21:00:00,4
2019-07-02 21:09:00,4
2019-07-02 21:12:00,4
2019-07-02 21:15:00,4
2019-07-02 21:18:00,4
2019-07-02 21:21:00,4
2019-07-02 21:24:00,4
2019-07-02 21:27:00,4
2019-07-02 21:30:00,4
2019-07-02 21:33:00,4
2019-07-02 21:45:00,4
2019-07-02 21:48:00,4
2019-07-02 21:51:00,4
2019-07-02 21:54:00,4
2019-07-02 22:00:00,4
2019-07-02 22:03:00,4
2019-07-02 22:09:00,4
2019-07-02 22:15:00,4
2019-07-02 22:18:00,4
2019-07-02 22:24:00,4
2019-07-02 22:27:00,4
2019-07-02 22:32:00,1
2019-07-02 22:33:00,4
2019-07-02 22:36:00,4
2019-07-02 22:39:00,4
2019-07-02 22:42:00,4
2019-07-02 22:45:00,4
2019-07-02 22:48:00,4
2019-07-02 22:51:00,4
2019-07-02 22:57:00,4
2019-07-02 23:00:00,4
2019-07-02 23:03:00,4
2019-07-02 23:12:00,4
2019-07-02 23:18:00,4
2019-07-02 23:22:00,4
2019-07-02 23:24:00,4
2019-07-02 23:27:00,4
2019-07-02 23:30:00,4
2019-07-02 23:33:00,4
2019-07-02 23:36:00,4
2019-07-02 23:41:00,4
2019-07-02 23:44:00,3
2019-07-02 23:45:00,1
2019-07-02 23:48:00,4
2019-07-02 23:51:00,4
2019-07-02 23:54:00,4
2019-07-02 23:57:00,4
