66,select and #>#
2019-02-07 00:05:00,1
2019-02-07 00:25:00,1
2019-02-07 00:44:00,1
2019-02-07 01:26:00,1
2019-02-07 01:48:00,1
2019-02-07 02:10:00,1
2019-02-07 02:51:00,1
2019-02-07 04:12:00,1
2019-02-07 05:41:00,1
2019-02-07 06:50:00,1
2019-02-07 07:39:00,1
2019-02-07 09:38:00,1
2019-02-07 10:20:00,1
2019-02-07 14:00:00,1
2019-02-07 14:30:00,1
2019-02-07 15:40:00,1
2019-02-07 16:07:00,1
2019-02-07 17:01:00,1
2019-02-07 17:03:00,1
2019-02-07 17:32:00,1
2019-02-07 18:00:00,1
2019-02-07 18:11:00,1
2019-02-07 18:20:00,1
2019-02-07 18:24:00,1
2019-02-07 18:29:00,1
2019-02-07 18:37:00,1
2019-02-07 18:44:00,1
2019-02-07 18:51:00,1
2019-02-07 19:10:00,1
2019-02-07 19:22:00,1
2019-02-07 19:28:00,1
2019-02-07 19:34:00,1
2019-02-07 19:42:00,1
2019-02-07 19:51:00,1
2019-02-07 19:57:00,1
2019-02-07 20:17:00,1
2019-02-07 20:22:00,1
2019-02-07 20:26:00,1
2019-02-07 20:40:00,1
2019-02-07 20:44:00,1
2019-02-07 20:48:00,1
2019-02-07 21:03:00,1
2019-02-07 21:06:00,1
2019-02-07 21:13:00,1
2019-02-07 21:14:00,1
2019-02-07 21:19:00,1
2019-02-07 21:37:00,1
2019-02-07 21:40:00,2
2019-02-07 21:52:00,1
2019-02-07 21:55:00,1
2019-02-07 21:58:00,1
2019-02-07 22:01:00,1
2019-02-07 22:04:00,1
2019-02-07 22:08:00,1
2019-02-07 22:13:00,1
2019-02-07 22:16:00,1
2019-02-07 22:19:00,1
2019-02-07 22:25:00,1
2019-02-07 22:28:00,1
2019-02-07 22:31:00,1
2019-02-07 22:34:00,1
2019-02-07 22:35:00,1
2019-02-07 22:58:00,1
2019-02-07 23:11:00,1
2019-02-07 23:37:00,1
