30,"select name,ucd from dbcolumns where tablename = &&& and ( name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&& or  name like &&&)"
2019-11-02 00:45:00,1
2019-11-02 01:45:00,1
2019-11-02 02:45:00,1
2019-11-02 03:45:00,1
2019-11-02 04:45:00,1
2019-11-02 05:45:00,1
2019-11-02 06:45:00,1
2019-11-02 07:45:00,1
2019-11-02 08:45:00,1
2019-11-02 09:45:00,1
2019-11-02 10:45:00,1
2019-11-02 11:10:00,1
2019-11-02 11:45:00,1
2019-11-02 12:45:00,1
2019-11-02 13:46:00,1
2019-11-02 14:46:00,1
2019-11-02 15:46:00,1
2019-11-02 16:28:00,9
2019-11-02 16:45:00,1
2019-11-02 17:45:00,1
2019-11-02 18:45:00,1
2019-11-02 19:45:00,1
