22,"SELECT g.objID, g.ra, g.dec, q.z, q.zErr, q.class, q.subclass FROM GALAXY as g, SpecObjAll as q WHERE g.objID = q.bestObjID and (g.ra between # and #) and (g.dec between # and #)"
2019-01-31 00:27:00,1
2019-01-31 00:43:00,1
2019-01-31 00:48:00,1
2019-01-31 00:58:00,1
2019-01-31 08:31:00,1
2019-01-31 08:41:00,1
2019-01-31 08:51:00,3
2019-01-31 08:52:00,1
2019-01-31 10:11:00,2
2019-01-31 10:12:00,4
2019-01-31 10:23:00,1
2019-01-31 17:15:00,1
2019-01-31 17:23:00,1
2019-01-31 17:31:00,2
2019-01-31 17:34:00,1
