264,select * from MyTable0
2019-01-31 16:20:00,2
2019-01-31 16:21:00,2
2019-01-31 16:22:00,2
2019-01-31 16:23:00,2
2019-01-31 16:24:00,2
2019-01-31 16:25:00,2
2019-01-31 16:26:00,2
2019-01-31 16:27:00,2
2019-01-31 16:28:00,2
2019-01-31 16:29:00,2
2019-01-31 16:30:00,2
2019-01-31 16:31:00,2
2019-01-31 16:32:00,2
2019-01-31 16:33:00,2
2019-01-31 16:34:00,2
2019-01-31 16:35:00,2
2019-01-31 16:36:00,2
2019-01-31 16:37:00,2
2019-01-31 16:38:00,2
2019-01-31 16:39:00,2
2019-01-31 16:40:00,2
2019-01-31 16:41:00,2
2019-01-31 16:42:00,2
2019-01-31 16:43:00,2
2019-01-31 16:44:00,2
2019-01-31 16:45:00,2
2019-01-31 16:46:00,2
2019-01-31 16:47:00,2
2019-01-31 16:48:00,1
2019-01-31 16:49:00,2
2019-01-31 16:50:00,2
2019-01-31 16:51:00,2
2019-01-31 16:52:00,2
2019-01-31 16:53:00,2
2019-01-31 16:54:00,2
2019-01-31 16:55:00,2
2019-01-31 16:56:00,2
2019-01-31 16:57:00,2
2019-01-31 16:58:00,2
2019-01-31 16:59:00,2
2019-01-31 17:00:00,2
2019-01-31 17:01:00,2
2019-01-31 17:02:00,2
2019-01-31 17:03:00,2
2019-01-31 17:04:00,2
2019-01-31 17:05:00,2
2019-01-31 17:06:00,2
2019-01-31 17:07:00,1
2019-01-31 17:08:00,2
2019-01-31 17:09:00,2
2019-01-31 17:10:00,2
2019-01-31 17:11:00,2
2019-01-31 17:12:00,2
2019-01-31 17:13:00,2
2019-01-31 17:14:00,2
2019-01-31 17:15:00,2
2019-01-31 17:16:00,2
2019-01-31 17:17:00,2
2019-01-31 17:18:00,1
2019-01-31 17:29:00,1
2019-01-31 17:31:00,2
2019-01-31 17:32:00,2
2019-01-31 17:33:00,2
2019-01-31 17:34:00,2
2019-01-31 17:35:00,2
2019-01-31 17:36:00,2
2019-01-31 17:37:00,2
2019-01-31 17:38:00,2
2019-01-31 17:39:00,2
2019-01-31 17:40:00,1
2019-01-31 17:41:00,2
2019-01-31 17:42:00,2
2019-01-31 17:43:00,2
2019-01-31 17:44:00,2
2019-01-31 17:45:00,2
2019-01-31 17:46:00,2
2019-01-31 17:47:00,2
2019-01-31 17:48:00,2
2019-01-31 17:49:00,2
2019-01-31 17:50:00,2
2019-01-31 17:51:00,2
2019-01-31 17:52:00,2
2019-01-31 17:53:00,2
2019-01-31 17:54:00,2
2019-01-31 17:55:00,2
2019-01-31 17:56:00,2
2019-01-31 17:57:00,2
2019-01-31 17:58:00,2
2019-01-31 17:59:00,2
2019-01-31 18:00:00,2
2019-01-31 18:01:00,2
2019-01-31 18:02:00,2
2019-01-31 18:03:00,2
2019-01-31 18:04:00,2
2019-01-31 18:05:00,2
2019-01-31 18:06:00,2
2019-01-31 18:07:00,2
2019-01-31 18:08:00,2
2019-01-31 18:09:00,2
2019-01-31 18:10:00,2
2019-01-31 18:11:00,2
2019-01-31 18:12:00,2
2019-01-31 18:13:00,2
2019-01-31 18:14:00,2
2019-01-31 18:15:00,2
2019-01-31 18:16:00,2
2019-01-31 18:17:00,2
2019-01-31 18:18:00,2
2019-01-31 18:19:00,2
2019-01-31 18:20:00,2
2019-01-31 18:21:00,2
2019-01-31 18:22:00,2
2019-01-31 18:23:00,2
2019-01-31 18:24:00,2
2019-01-31 18:25:00,2
2019-01-31 18:26:00,2
2019-01-31 18:27:00,2
2019-01-31 18:28:00,2
2019-01-31 18:29:00,2
2019-01-31 18:30:00,2
2019-01-31 18:31:00,2
2019-01-31 18:32:00,2
2019-01-31 18:33:00,2
2019-01-31 18:34:00,2
2019-01-31 18:35:00,2
2019-01-31 18:36:00,1
2019-01-31 18:57:00,2
2019-01-31 18:58:00,2
2019-01-31 18:59:00,2
2019-01-31 19:00:00,2
2019-01-31 19:01:00,2
2019-01-31 19:02:00,2
2019-01-31 19:03:00,2
2019-01-31 19:04:00,1
2019-01-31 19:05:00,2
2019-01-31 19:06:00,1
