56,"select s.ObjID, s.ra,s.dec,s.deVRad_r,s.deVAB_r,s.raErr,s.decErr,s.type,s.modelMag_u,s.modelMagErr_u,s.modelMag_g,s.modelMagErr_g,s.modelMag_r,s.modelMagErr_r,s.modelMag_i,s.modelMagErr_i,s.modelMag_z,s.modelMagErr_z from PhotoPrimary s, dbo.fGetNearbyObjEq(#,#,#) n where s.ObjID = n.ObjID AND s.mode = #"
2019-05-24 00:05:00,1
2019-05-24 00:06:00,1
2019-05-24 04:32:00,1
2019-05-24 04:33:00,1
2019-05-24 04:39:00,2
2019-05-24 04:44:00,2
2019-05-24 04:48:00,2
2019-05-24 04:51:00,1
2019-05-24 04:52:00,1
2019-05-24 04:59:00,2
2019-05-24 21:18:00,2
2019-05-24 21:21:00,2
2019-05-24 21:24:00,1
2019-05-24 21:25:00,1
2019-05-24 21:27:00,2
2019-05-24 21:30:00,2
2019-05-24 21:32:00,1
2019-05-24 21:33:00,1
2019-05-24 21:35:00,1
2019-05-24 21:36:00,1
2019-05-24 21:38:00,2
2019-05-24 21:41:00,2
2019-05-24 21:43:00,2
2019-05-24 21:46:00,2
2019-05-24 21:50:00,2
2019-05-24 22:05:00,1
2019-05-24 22:06:00,1
2019-05-24 22:09:00,2
2019-05-24 22:11:00,2
2019-05-24 22:14:00,2
2019-05-24 22:17:00,1
2019-05-24 22:18:00,1
2019-05-24 22:20:00,2
2019-05-24 22:25:00,1
2019-05-24 22:26:00,1
2019-05-24 22:28:00,2
2019-05-24 22:30:00,1
2019-05-24 22:31:00,1
