106,select
2019-07-04 00:06:00,3
2019-07-04 00:31:00,3
2019-07-04 00:57:00,3
2019-07-04 01:23:00,3
2019-07-04 01:50:00,3
2019-07-04 02:02:00,1
2019-07-04 02:17:00,3
2019-07-04 02:44:00,3
2019-07-04 03:10:00,3
2019-07-04 03:37:00,3
2019-07-04 04:03:00,3
2019-07-04 04:29:00,3
2019-07-04 04:57:00,3
2019-07-04 05:24:00,3
2019-07-04 06:20:00,3
2019-07-04 07:46:00,1
2019-07-04 07:47:00,2
2019-07-04 08:15:00,3
2019-07-04 09:12:00,3
2019-07-04 10:53:00,3
2019-07-04 11:22:00,3
2019-07-04 11:51:00,3
2019-07-04 12:20:00,3
2019-07-04 12:49:00,3
2019-07-04 13:17:00,3
2019-07-04 14:16:00,3
2019-07-04 15:59:00,3
2019-07-04 16:53:00,3
2019-07-04 17:52:00,3
2019-07-04 18:22:00,3
2019-07-04 19:26:00,3
2019-07-04 20:27:00,2
2019-07-04 20:28:00,1
2019-07-04 21:27:00,3
2019-07-04 22:04:00,3
2019-07-04 22:24:00,1
2019-07-04 22:25:00,2
2019-07-04 23:18:00,3
2019-07-04 23:44:00,3
