16,"SELECT TOP #    p.u, p.g, p.r, p.i, p.z, s.class, s.subclass, s.z as redshift, s.zerr as redshift_error, s.zwarning as redshift_warning FROM PhotoObj AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE     p.u BETWEEN # AND #    AND p.g BETWEEN # AND #    AND p.r BETWEEN # AND #    AND p.i BETWEEN # AND #    AND p.z BETWEEN # AND #    AND s.zwarning = #    AND s.class = &&&"
2019-11-07 02:52:00,1
2019-11-07 02:58:00,1
2019-11-07 03:04:00,1
2019-11-07 04:27:00,1
2019-11-07 04:28:00,1
2019-11-07 08:20:00,1
2019-11-07 08:22:00,1
2019-11-07 08:34:00,1
2019-11-07 08:35:00,1
2019-11-07 08:36:00,1
2019-11-07 08:40:00,1
2019-11-07 08:41:00,1
2019-11-07 09:35:00,1
2019-11-07 09:37:00,1
2019-11-07 09:40:00,1
2019-11-07 09:41:00,1
