1338,"SELECT  &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p    WHERE n.objID=p.objID"
2019-05-06 01:49:00,5
2019-05-06 01:51:00,1
2019-05-06 01:55:00,1
2019-05-06 01:56:00,1
2019-05-06 01:58:00,1
2019-05-06 01:59:00,5
2019-05-06 02:02:00,1
2019-05-06 02:05:00,1
2019-05-06 02:06:00,1
2019-05-06 02:08:00,1
2019-05-06 02:09:00,5
2019-05-06 02:12:00,1
2019-05-06 02:15:00,1
2019-05-06 02:16:00,1
2019-05-06 02:18:00,1
2019-05-06 02:19:00,5
2019-05-06 02:22:00,1
2019-05-06 02:25:00,1
2019-05-06 02:26:00,1
2019-05-06 02:28:00,1
2019-05-06 02:29:00,5
2019-05-06 02:32:00,1
2019-05-06 02:35:00,1
2019-05-06 02:36:00,1
2019-05-06 02:38:00,1
2019-05-06 02:39:00,5
2019-05-06 02:42:00,1
2019-05-06 02:45:00,1
2019-05-06 02:46:00,1
2019-05-06 02:48:00,1
2019-05-06 02:49:00,5
2019-05-06 02:52:00,2
2019-05-06 02:55:00,1
2019-05-06 02:56:00,1
2019-05-06 02:58:00,1
2019-05-06 02:59:00,5
2019-05-06 03:02:00,1
2019-05-06 03:05:00,1
2019-05-06 03:06:00,1
2019-05-06 03:08:00,1
2019-05-06 03:09:00,5
2019-05-06 03:12:00,1
2019-05-06 03:15:00,1
2019-05-06 03:16:00,1
2019-05-06 03:18:00,1
2019-05-06 03:19:00,5
2019-05-06 03:22:00,1
2019-05-06 03:25:00,1
2019-05-06 03:26:00,1
2019-05-06 03:28:00,1
2019-05-06 03:29:00,5
2019-05-06 03:32:00,2
2019-05-06 03:35:00,1
2019-05-06 03:36:00,1
2019-05-06 03:38:00,1
2019-05-06 03:39:00,5
2019-05-06 03:42:00,1
2019-05-06 03:45:00,1
2019-05-06 03:46:00,1
2019-05-06 03:48:00,1
2019-05-06 03:49:00,5
2019-05-06 03:52:00,1
2019-05-06 03:55:00,1
2019-05-06 03:56:00,1
2019-05-06 03:58:00,1
2019-05-06 03:59:00,5
2019-05-06 04:02:00,1
2019-05-06 04:05:00,1
2019-05-06 04:06:00,1
2019-05-06 04:08:00,1
2019-05-06 04:09:00,5
2019-05-06 04:12:00,1
2019-05-06 04:15:00,1
2019-05-06 04:16:00,1
2019-05-06 04:18:00,1
2019-05-06 04:19:00,5
2019-05-06 04:22:00,2
2019-05-06 04:25:00,1
2019-05-06 04:26:00,1
2019-05-06 04:28:00,1
2019-05-06 04:29:00,5
2019-05-06 04:32:00,1
2019-05-06 04:35:00,1
2019-05-06 04:36:00,1
2019-05-06 04:38:00,1
2019-05-06 04:39:00,5
2019-05-06 04:42:00,1
2019-05-06 04:45:00,1
2019-05-06 04:46:00,1
2019-05-06 04:48:00,1
2019-05-06 04:49:00,5
2019-05-06 04:52:00,1
2019-05-06 04:55:00,1
2019-05-06 04:56:00,1
2019-05-06 04:58:00,1
2019-05-06 04:59:00,5
2019-05-06 05:02:00,2
2019-05-06 05:05:00,1
2019-05-06 05:06:00,1
2019-05-06 05:08:00,1
2019-05-06 05:09:00,5
2019-05-06 05:12:00,2
2019-05-06 05:15:00,1
2019-05-06 05:16:00,1
2019-05-06 05:18:00,1
2019-05-06 05:19:00,5
2019-05-06 05:22:00,2
2019-05-06 05:25:00,1
2019-05-06 05:26:00,1
2019-05-06 05:28:00,1
2019-05-06 05:29:00,5
2019-05-06 05:32:00,2
2019-05-06 05:35:00,1
2019-05-06 05:37:00,1
2019-05-06 05:38:00,1
2019-05-06 05:39:00,5
2019-05-06 05:42:00,1
2019-05-06 05:45:00,1
2019-05-06 05:47:00,1
2019-05-06 05:48:00,1
2019-05-06 05:49:00,5
2019-05-06 05:52:00,1
2019-05-06 05:55:00,1
2019-05-06 05:57:00,1
2019-05-06 05:58:00,1
2019-05-06 05:59:00,5
2019-05-06 06:02:00,1
2019-05-06 06:05:00,1
2019-05-06 06:07:00,1
2019-05-06 06:08:00,1
2019-05-06 06:09:00,5
2019-05-06 06:12:00,1
2019-05-06 06:15:00,1
2019-05-06 06:17:00,1
2019-05-06 06:18:00,1
2019-05-06 06:19:00,5
2019-05-06 06:22:00,1
2019-05-06 06:25:00,1
2019-05-06 06:27:00,1
2019-05-06 06:28:00,1
2019-05-06 06:29:00,5
2019-05-06 06:32:00,1
2019-05-06 06:35:00,1
2019-05-06 06:37:00,1
2019-05-06 06:38:00,1
2019-05-06 06:39:00,5
2019-05-06 06:42:00,1
2019-05-06 06:45:00,1
2019-05-06 06:47:00,1
2019-05-06 06:48:00,1
2019-05-06 06:49:00,5
2019-05-06 06:52:00,1
2019-05-06 06:55:00,1
2019-05-06 06:57:00,1
2019-05-06 06:58:00,1
2019-05-06 06:59:00,5
2019-05-06 07:02:00,1
2019-05-06 07:05:00,1
2019-05-06 07:07:00,1
2019-05-06 07:08:00,1
2019-05-06 07:09:00,5
2019-05-06 07:12:00,1
2019-05-06 07:15:00,1
2019-05-06 07:17:00,2
2019-05-06 07:18:00,1
2019-05-06 07:19:00,7
2019-05-06 07:20:00,1
2019-05-06 07:21:00,6
2019-05-06 07:22:00,2
2019-05-06 07:23:00,5
2019-05-06 07:24:00,1
2019-05-06 07:26:00,1
2019-05-06 07:29:00,1
2019-05-06 07:31:00,1
2019-05-06 07:32:00,1
2019-05-06 07:33:00,5
2019-05-06 07:36:00,1
2019-05-06 07:39:00,1
2019-05-06 07:41:00,1
2019-05-06 07:42:00,1
2019-05-06 07:43:00,5
2019-05-06 07:46:00,1
2019-05-06 07:49:00,1
2019-05-06 07:51:00,1
2019-05-06 07:52:00,1
2019-05-06 07:53:00,6
2019-05-06 07:54:00,1
2019-05-06 07:55:00,3
2019-05-06 07:56:00,1
2019-05-06 07:59:00,1
2019-05-06 08:03:00,3
2019-05-06 08:04:00,1
2019-05-06 08:05:00,3
2019-05-06 08:06:00,1
2019-05-06 08:09:00,1
2019-05-06 08:13:00,3
2019-05-06 08:14:00,1
2019-05-06 08:15:00,3
2019-05-06 08:16:00,1
2019-05-06 08:19:00,1
2019-05-06 08:23:00,3
2019-05-06 08:24:00,1
2019-05-06 08:25:00,3
2019-05-06 08:26:00,1
2019-05-06 08:29:00,1
2019-05-06 08:33:00,3
2019-05-06 08:34:00,1
2019-05-06 08:35:00,3
2019-05-06 08:36:00,1
2019-05-06 08:40:00,1
2019-05-06 08:44:00,4
2019-05-06 08:45:00,3
2019-05-06 08:46:00,1
2019-05-06 08:50:00,1
2019-05-06 08:54:00,4
2019-05-06 08:55:00,3
2019-05-06 08:56:00,1
2019-05-06 09:00:00,1
2019-05-06 09:04:00,4
2019-05-06 09:05:00,3
2019-05-06 09:06:00,1
2019-05-06 09:10:00,1
2019-05-06 09:14:00,4
2019-05-06 09:15:00,3
2019-05-06 09:16:00,1
2019-05-06 09:20:00,1
2019-05-06 09:24:00,4
2019-05-06 09:25:00,3
2019-05-06 09:26:00,1
2019-05-06 09:30:00,1
2019-05-06 09:34:00,4
2019-05-06 09:35:00,3
2019-05-06 09:36:00,1
2019-05-06 09:40:00,1
2019-05-06 09:44:00,4
2019-05-06 09:45:00,3
2019-05-06 09:46:00,1
2019-05-06 09:50:00,1
2019-05-06 09:54:00,4
2019-05-06 09:55:00,3
2019-05-06 09:56:00,1
2019-05-06 10:00:00,1
2019-05-06 10:04:00,4
2019-05-06 10:05:00,3
2019-05-06 10:06:00,1
2019-05-06 10:10:00,1
2019-05-06 10:14:00,4
2019-05-06 10:15:00,3
2019-05-06 10:16:00,1
2019-05-06 10:20:00,1
2019-05-06 10:24:00,4
2019-05-06 10:25:00,3
2019-05-06 10:26:00,1
2019-05-06 10:30:00,1
2019-05-06 10:34:00,4
2019-05-06 10:35:00,3
2019-05-06 10:36:00,1
2019-05-06 10:40:00,1
2019-05-06 10:44:00,5
2019-05-06 10:45:00,3
2019-05-06 10:46:00,1
2019-05-06 10:50:00,1
2019-05-06 10:54:00,4
2019-05-06 10:55:00,3
2019-05-06 10:56:00,1
2019-05-06 11:00:00,1
2019-05-06 11:04:00,4
2019-05-06 11:05:00,3
2019-05-06 11:06:00,1
2019-05-06 11:10:00,1
2019-05-06 11:14:00,4
2019-05-06 11:15:00,3
2019-05-06 11:16:00,1
2019-05-06 11:20:00,1
2019-05-06 11:24:00,4
2019-05-06 11:25:00,1
2019-05-06 11:26:00,3
2019-05-06 11:30:00,1
2019-05-06 11:34:00,5
2019-05-06 11:35:00,1
2019-05-06 11:36:00,3
2019-05-06 11:40:00,1
2019-05-06 11:44:00,4
2019-05-06 11:45:00,1
2019-05-06 11:46:00,3
2019-05-06 11:50:00,1
2019-05-06 11:54:00,4
2019-05-06 11:55:00,1
2019-05-06 11:56:00,3
2019-05-06 12:00:00,1
2019-05-06 12:04:00,4
2019-05-06 12:05:00,1
2019-05-06 12:06:00,3
2019-05-06 12:10:00,1
2019-05-06 12:14:00,4
2019-05-06 12:15:00,1
2019-05-06 12:16:00,3
2019-05-06 12:20:00,1
2019-05-06 12:24:00,4
2019-05-06 12:25:00,1
2019-05-06 12:26:00,3
2019-05-06 12:30:00,1
2019-05-06 12:34:00,4
2019-05-06 12:35:00,1
2019-05-06 12:36:00,3
2019-05-06 12:40:00,1
2019-05-06 12:44:00,4
2019-05-06 12:45:00,1
2019-05-06 12:46:00,3
2019-05-06 12:50:00,1
2019-05-06 12:54:00,4
2019-05-06 12:55:00,1
2019-05-06 12:56:00,3
2019-05-06 13:00:00,1
2019-05-06 13:04:00,4
2019-05-06 13:05:00,1
2019-05-06 13:06:00,3
2019-05-06 13:10:00,1
2019-05-06 13:14:00,4
2019-05-06 13:15:00,1
2019-05-06 13:16:00,3
2019-05-06 13:20:00,1
2019-05-06 13:24:00,5
2019-05-06 13:25:00,1
2019-05-06 13:26:00,3
2019-05-06 13:30:00,1
2019-05-06 13:34:00,4
2019-05-06 13:35:00,1
2019-05-06 13:36:00,4
2019-05-06 13:40:00,1
2019-05-06 13:44:00,4
2019-05-06 13:45:00,1
2019-05-06 13:46:00,3
2019-05-06 13:50:00,1
2019-05-06 13:54:00,4
2019-05-06 13:55:00,1
2019-05-06 13:56:00,3
2019-05-06 14:00:00,1
2019-05-06 14:04:00,4
2019-05-06 14:05:00,1
2019-05-06 14:06:00,3
2019-05-06 14:10:00,1
2019-05-06 14:14:00,4
2019-05-06 14:15:00,1
2019-05-06 14:16:00,3
2019-05-06 14:20:00,1
2019-05-06 14:24:00,4
2019-05-06 14:25:00,1
2019-05-06 14:26:00,3
2019-05-06 14:30:00,1
2019-05-06 14:34:00,4
2019-05-06 14:35:00,1
2019-05-06 14:36:00,3
2019-05-06 14:40:00,1
2019-05-06 14:44:00,4
2019-05-06 14:45:00,1
2019-05-06 14:46:00,3
2019-05-06 14:50:00,1
2019-05-06 14:54:00,4
2019-05-06 14:55:00,1
2019-05-06 14:56:00,3
2019-05-06 15:00:00,1
2019-05-06 15:04:00,4
2019-05-06 15:05:00,1
2019-05-06 15:06:00,3
2019-05-06 15:10:00,1
2019-05-06 15:14:00,4
2019-05-06 15:15:00,1
2019-05-06 15:16:00,3
2019-05-06 15:20:00,1
2019-05-06 15:24:00,4
2019-05-06 15:25:00,1
2019-05-06 15:26:00,3
2019-05-06 15:30:00,1
2019-05-06 15:34:00,5
2019-05-06 15:35:00,1
2019-05-06 15:36:00,3
2019-05-06 15:40:00,1
2019-05-06 15:44:00,4
2019-05-06 15:45:00,1
2019-05-06 15:46:00,3
2019-05-06 15:50:00,1
2019-05-06 15:54:00,5
2019-05-06 15:55:00,1
2019-05-06 15:56:00,3
2019-05-06 16:00:00,1
2019-05-06 16:04:00,4
2019-05-06 16:05:00,1
2019-05-06 16:06:00,3
2019-05-06 16:10:00,1
2019-05-06 16:14:00,4
2019-05-06 16:15:00,1
2019-05-06 16:16:00,3
2019-05-06 16:20:00,1
2019-05-06 16:24:00,4
2019-05-06 16:25:00,1
2019-05-06 16:26:00,3
2019-05-06 16:30:00,1
2019-05-06 16:34:00,4
2019-05-06 16:35:00,1
2019-05-06 16:36:00,3
2019-05-06 16:40:00,1
2019-05-06 16:44:00,4
2019-05-06 16:45:00,1
2019-05-06 16:46:00,3
2019-05-06 16:50:00,1
2019-05-06 16:54:00,4
2019-05-06 16:55:00,1
2019-05-06 16:56:00,3
2019-05-06 17:00:00,1
2019-05-06 17:04:00,5
2019-05-06 17:06:00,3
2019-05-06 17:10:00,1
2019-05-06 17:14:00,5
2019-05-06 17:15:00,1
2019-05-06 17:16:00,3
2019-05-06 17:20:00,1
2019-05-06 17:24:00,4
2019-05-06 17:25:00,1
2019-05-06 17:26:00,3
2019-05-06 17:30:00,1
2019-05-06 17:34:00,4
2019-05-06 17:35:00,1
2019-05-06 17:36:00,3
2019-05-06 17:40:00,1
2019-05-06 17:44:00,5
2019-05-06 17:45:00,1
2019-05-06 17:46:00,3
2019-05-06 17:50:00,1
2019-05-06 17:54:00,4
2019-05-06 17:55:00,1
2019-05-06 17:56:00,3
2019-05-06 18:00:00,1
2019-05-06 18:04:00,4
2019-05-06 18:06:00,3
2019-05-06 18:10:00,1
2019-05-06 18:14:00,4
2019-05-06 18:15:00,1
2019-05-06 18:16:00,3
2019-05-06 18:20:00,1
2019-05-06 18:24:00,4
2019-05-06 18:25:00,1
2019-05-06 18:26:00,3
2019-05-06 18:30:00,1
2019-05-06 18:34:00,5
2019-05-06 18:35:00,1
2019-05-06 18:36:00,3
2019-05-06 18:40:00,1
2019-05-06 18:44:00,5
2019-05-06 18:45:00,1
2019-05-06 18:46:00,3
2019-05-06 18:50:00,1
2019-05-06 18:54:00,4
2019-05-06 18:55:00,1
2019-05-06 18:56:00,3
2019-05-06 19:00:00,1
2019-05-06 19:04:00,4
2019-05-06 19:05:00,1
2019-05-06 19:06:00,3
2019-05-06 19:10:00,1
2019-05-06 19:14:00,4
2019-05-06 19:15:00,1
2019-05-06 19:16:00,3
2019-05-06 19:20:00,1
2019-05-06 19:24:00,5
2019-05-06 19:25:00,1
2019-05-06 19:26:00,3
2019-05-06 19:30:00,1
2019-05-06 19:34:00,4
2019-05-06 19:35:00,1
2019-05-06 19:36:00,3
2019-05-06 19:40:00,1
2019-05-06 19:44:00,5
2019-05-06 19:45:00,1
2019-05-06 19:46:00,3
2019-05-06 19:50:00,1
2019-05-06 19:54:00,4
2019-05-06 19:55:00,1
2019-05-06 19:56:00,3
2019-05-06 20:00:00,1
2019-05-06 20:04:00,4
2019-05-06 20:05:00,1
2019-05-06 20:06:00,3
2019-05-06 20:10:00,1
2019-05-06 20:14:00,4
2019-05-06 20:15:00,1
2019-05-06 20:16:00,3
2019-05-06 20:20:00,1
2019-05-06 20:24:00,4
2019-05-06 20:25:00,1
2019-05-06 20:26:00,3
2019-05-06 20:30:00,1
2019-05-06 20:34:00,5
2019-05-06 20:35:00,1
2019-05-06 20:36:00,3
2019-05-06 20:40:00,1
2019-05-06 20:44:00,4
2019-05-06 20:45:00,1
2019-05-06 20:46:00,4
2019-05-06 20:50:00,1
2019-05-06 20:54:00,5
2019-05-06 20:55:00,1
2019-05-06 20:56:00,3
2019-05-06 21:00:00,1
2019-05-06 21:04:00,4
2019-05-06 21:05:00,1
2019-05-06 21:06:00,3
2019-05-06 21:10:00,1
2019-05-06 21:14:00,5
2019-05-06 21:15:00,1
2019-05-06 21:16:00,3
2019-05-06 21:20:00,1
2019-05-06 21:24:00,4
2019-05-06 21:25:00,1
2019-05-06 21:26:00,3
2019-05-06 21:30:00,1
2019-05-06 21:34:00,4
2019-05-06 21:35:00,1
2019-05-06 21:36:00,4
2019-05-06 21:40:00,1
2019-05-06 21:44:00,4
2019-05-06 21:45:00,1
2019-05-06 21:46:00,3
2019-05-06 21:50:00,1
2019-05-06 21:54:00,4
2019-05-06 21:55:00,1
2019-05-06 21:56:00,3
2019-05-06 22:00:00,1
2019-05-06 22:04:00,4
2019-05-06 22:05:00,1
2019-05-06 22:06:00,3
2019-05-06 22:10:00,1
2019-05-06 22:14:00,4
2019-05-06 22:15:00,1
2019-05-06 22:16:00,3
2019-05-06 22:20:00,1
2019-05-06 22:24:00,4
2019-05-06 22:25:00,1
2019-05-06 22:26:00,3
2019-05-06 22:30:00,1
2019-05-06 22:34:00,4
2019-05-06 22:35:00,1
2019-05-06 22:36:00,3
2019-05-06 22:40:00,1
2019-05-06 22:44:00,4
2019-05-06 22:45:00,1
2019-05-06 22:46:00,3
2019-05-06 22:50:00,1
2019-05-06 22:54:00,4
2019-05-06 22:55:00,1
2019-05-06 22:56:00,3
2019-05-06 23:00:00,1
2019-05-06 23:04:00,4
2019-05-06 23:05:00,1
2019-05-06 23:06:00,3
2019-05-06 23:10:00,1
2019-05-06 23:14:00,4
2019-05-06 23:15:00,1
2019-05-06 23:16:00,3
2019-05-06 23:20:00,1
2019-05-06 23:24:00,4
2019-05-06 23:25:00,1
2019-05-06 23:26:00,3
2019-05-06 23:30:00,1
2019-05-06 23:34:00,4
2019-05-06 23:35:00,1
2019-05-06 23:36:00,3
2019-05-06 23:40:00,1
2019-05-06 23:44:00,4
2019-05-06 23:45:00,1
2019-05-06 23:46:00,3
2019-05-06 23:50:00,1
2019-05-06 23:54:00,4
2019-05-06 23:55:00,1
2019-05-06 23:56:00,3
