170,select objid from photoobjall where photoobjall.dec between # and -.# and photoobjall.ra between # and #
2019-03-14 06:18:00,1
2019-03-14 06:19:00,3
2019-03-14 06:20:00,1
2019-03-14 06:21:00,3
2019-03-14 06:22:00,1
2019-03-14 06:23:00,2
2019-03-14 06:24:00,4
2019-03-14 06:26:00,3
2019-03-14 06:27:00,1
2019-03-14 11:03:00,6
2019-03-14 11:05:00,1
2019-03-14 11:09:00,1
2019-03-14 11:10:00,2
2019-03-14 11:13:00,1
2019-03-14 11:14:00,1
2019-03-14 11:15:00,1
2019-03-14 11:18:00,3
2019-03-14 11:20:00,1
2019-03-14 11:23:00,1
2019-03-14 11:26:00,1
2019-03-14 11:27:00,1
2019-03-14 11:28:00,1
2019-03-14 11:29:00,3
2019-03-14 11:31:00,1
2019-03-14 11:32:00,2
2019-03-14 11:33:00,2
2019-03-14 11:35:00,1
2019-03-14 11:36:00,1
2019-03-14 11:37:00,1
2019-03-14 11:38:00,1
2019-03-14 11:40:00,1
2019-03-14 11:44:00,1
2019-03-14 11:45:00,1
2019-03-14 11:49:00,1
2019-03-14 11:51:00,4
2019-03-14 11:54:00,2
2019-03-14 11:57:00,1
2019-03-14 12:01:00,1
2019-03-14 12:02:00,1
2019-03-14 12:03:00,1
2019-03-14 12:04:00,1
2019-03-14 12:05:00,1
2019-03-14 12:07:00,2
2019-03-14 12:09:00,4
2019-03-14 12:10:00,1
2019-03-14 12:14:00,1
2019-03-14 12:15:00,1
2019-03-14 12:16:00,2
2019-03-14 12:17:00,1
2019-03-14 12:19:00,3
2019-03-14 12:24:00,2
2019-03-14 12:25:00,1
2019-03-14 12:26:00,3
2019-03-14 12:31:00,1
2019-03-14 12:32:00,1
2019-03-14 12:34:00,1
2019-03-14 12:36:00,1
2019-03-14 12:37:00,3
2019-03-14 12:41:00,1
2019-03-14 12:43:00,1
2019-03-14 12:48:00,1
2019-03-14 12:49:00,1
2019-03-14 12:58:00,1
2019-03-14 12:59:00,2
2019-03-14 13:00:00,2
2019-03-14 13:01:00,3
2019-03-14 13:03:00,5
2019-03-14 13:04:00,5
2019-03-14 13:07:00,2
2019-03-14 13:08:00,1
2019-03-14 13:09:00,1
2019-03-14 13:11:00,2
2019-03-14 13:12:00,2
2019-03-14 13:14:00,2
2019-03-14 13:15:00,2
2019-03-14 13:16:00,4
2019-03-14 13:17:00,1
2019-03-14 13:18:00,1
2019-03-14 13:19:00,1
2019-03-14 13:20:00,2
2019-03-14 13:21:00,2
2019-03-14 13:22:00,5
2019-03-14 13:23:00,3
2019-03-14 13:25:00,3
2019-03-14 13:26:00,3
2019-03-14 13:27:00,3
2019-03-14 13:28:00,3
2019-03-14 13:30:00,3
2019-03-14 13:31:00,1
2019-03-14 13:32:00,2
2019-03-14 13:33:00,3
