72,"select count(*) as count from star p, dbo.fgetNearByObjEq(#,#,#) n where p.objid=n.objid"
2019-03-14 05:32:00,1
2019-03-14 05:33:00,1
2019-03-14 05:34:00,2
2019-03-14 05:35:00,2
2019-03-14 05:36:00,1
2019-03-14 05:37:00,2
2019-03-14 05:38:00,3
2019-03-14 05:39:00,1
2019-03-14 05:40:00,2
2019-03-14 05:41:00,3
2019-03-14 05:42:00,2
2019-03-14 05:43:00,3
2019-03-14 05:44:00,2
2019-03-14 05:45:00,1
2019-03-14 15:59:00,2
2019-03-14 16:00:00,1
2019-03-14 16:01:00,2
2019-03-14 16:02:00,5
2019-03-14 16:03:00,3
2019-03-14 16:04:00,4
2019-03-14 16:05:00,5
2019-03-14 16:06:00,1
2019-03-14 16:29:00,1
2019-03-14 16:30:00,1
2019-03-14 16:31:00,1
2019-03-14 16:32:00,2
2019-03-14 16:40:00,1
2019-03-14 16:42:00,4
2019-03-14 16:51:00,2
2019-03-14 16:52:00,5
2019-03-14 16:53:00,5
2019-03-14 16:54:00,1
