1432,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-01-03 00:36:00,3
2019-01-03 00:37:00,7
2019-01-03 00:45:00,4
2019-01-03 00:46:00,3
2019-01-03 00:47:00,2
2019-01-03 00:48:00,5
2019-01-03 00:49:00,2
2019-01-03 00:50:00,3
2019-01-03 00:51:00,4
2019-01-03 00:52:00,2
2019-01-03 00:53:00,2
2019-01-03 00:54:00,6
2019-01-03 00:55:00,2
2019-01-03 00:56:00,2
2019-01-03 00:57:00,6
2019-01-03 00:58:00,3
2019-01-03 00:59:00,6
2019-01-03 01:00:00,4
2019-01-03 01:01:00,6
2019-01-03 01:02:00,7
2019-01-03 01:03:00,4
2019-01-03 01:04:00,4
2019-01-03 01:05:00,5
2019-01-03 01:06:00,4
2019-01-03 01:07:00,1
2019-01-03 01:08:00,4
2019-01-03 01:09:00,4
2019-01-03 01:10:00,1
2019-01-03 01:11:00,6
2019-01-03 01:12:00,5
2019-01-03 01:13:00,5
2019-01-03 01:14:00,2
2019-01-03 01:15:00,4
2019-01-03 01:16:00,2
2019-01-03 01:17:00,2
2019-01-03 01:18:00,3
2019-01-03 01:19:00,2
2019-01-03 01:20:00,6
2019-01-03 01:21:00,5
2019-01-03 01:22:00,6
2019-01-03 01:23:00,4
2019-01-03 01:24:00,2
2019-01-03 01:25:00,6
2019-01-03 01:26:00,4
2019-01-03 01:27:00,5
2019-01-03 01:28:00,7
2019-01-03 01:29:00,6
2019-01-03 01:30:00,5
2019-01-03 01:31:00,4
2019-01-03 01:32:00,7
2019-01-03 01:33:00,4
2019-01-03 01:34:00,6
2019-01-03 01:35:00,5
2019-01-03 01:36:00,6
2019-01-03 01:37:00,5
2019-01-03 01:38:00,4
2019-01-03 01:39:00,5
2019-01-03 01:40:00,5
2019-01-03 01:41:00,5
2019-01-03 01:42:00,4
2019-01-03 01:43:00,5
2019-01-03 01:44:00,4
2019-01-03 01:45:00,6
2019-01-03 01:46:00,5
2019-01-03 01:47:00,4
2019-01-03 01:48:00,5
2019-01-03 01:49:00,4
2019-01-03 01:50:00,5
2019-01-03 01:51:00,5
2019-01-03 01:52:00,3
2019-01-03 01:53:00,5
2019-01-03 01:54:00,5
2019-01-03 01:55:00,4
2019-01-03 01:56:00,7
2019-01-03 01:57:00,8
2019-01-03 01:58:00,6
2019-01-03 01:59:00,7
2019-01-03 02:00:00,4
2019-01-03 02:01:00,6
2019-01-03 02:02:00,5
2019-01-03 02:03:00,5
2019-01-03 02:04:00,5
2019-01-03 02:05:00,5
2019-01-03 02:06:00,3
2019-01-03 02:07:00,5
2019-01-03 02:08:00,6
2019-01-03 02:09:00,4
2019-01-03 02:10:00,4
2019-01-03 02:11:00,2
2019-01-03 02:12:00,5
2019-01-03 02:13:00,3
2019-01-03 02:14:00,7
2019-01-03 02:15:00,4
2019-01-03 02:16:00,4
2019-01-03 02:17:00,5
2019-01-03 02:18:00,6
2019-01-03 02:19:00,5
2019-01-03 02:20:00,8
2019-01-03 02:21:00,6
2019-01-03 02:22:00,6
2019-01-03 02:23:00,5
2019-01-03 02:24:00,6
2019-01-03 02:25:00,6
2019-01-03 02:26:00,6
2019-01-03 02:27:00,7
2019-01-03 02:28:00,5
2019-01-03 02:29:00,4
2019-01-03 02:30:00,4
2019-01-03 02:31:00,7
2019-01-03 02:32:00,6
2019-01-03 02:33:00,3
2019-01-03 02:34:00,3
2019-01-03 02:35:00,3
2019-01-03 02:36:00,3
2019-01-03 02:37:00,3
2019-01-03 02:38:00,7
2019-01-03 02:39:00,6
2019-01-03 02:40:00,7
2019-01-03 02:41:00,6
2019-01-03 02:42:00,7
2019-01-03 02:43:00,7
2019-01-03 02:44:00,7
2019-01-03 02:45:00,6
2019-01-03 02:46:00,6
2019-01-03 02:47:00,4
2019-01-03 02:48:00,6
2019-01-03 02:49:00,3
2019-01-03 02:50:00,5
2019-01-03 02:51:00,5
2019-01-03 02:52:00,5
2019-01-03 02:53:00,5
2019-01-03 02:54:00,7
2019-01-03 02:55:00,7
2019-01-03 02:56:00,7
2019-01-03 02:57:00,7
2019-01-03 02:58:00,6
2019-01-03 02:59:00,6
2019-01-03 03:00:00,5
2019-01-03 03:01:00,6
2019-01-03 03:02:00,5
2019-01-03 03:03:00,6
2019-01-03 03:04:00,8
2019-01-03 03:05:00,5
2019-01-03 03:06:00,3
2019-01-03 03:07:00,5
2019-01-03 03:08:00,5
2019-01-03 03:09:00,5
2019-01-03 03:10:00,4
2019-01-03 03:11:00,5
