1031,"SELECT DISTINCT p.objID, p.skyVersion, p.mode, p.clean, p.type, p.ra, p.dec, p.type_r, p.petroRad_r, p.deVRad_r, p.deVAB_r, p.deVPhi_r, p.expRad_r, p.expAB_r, p.expPhi_r, p.lnLExp_r, p.lnLDeV_r, psfMag_r, p.type_g, p.petroRad_g, p.deVRad_g, p.deVAB_g, p.deVPhi_g, p.expRad_g, p.expAB_g, p.expPhi_g, p.lnLExp_g, p.lnLDeV_g, psfMag_g, p.type_i, p.petroRad_i, p.deVRad_i, p.deVAB_i, p.deVPhi_i, p.expRad_i, p.expAB_i, p.expPhi_i, p.lnLExp_i, p.lnLDeV_i, psfMag_i FROM PhotoPrimary AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-05-09 20:02:00,4
2019-05-09 20:10:00,5
2019-05-09 20:11:00,9
2019-05-09 20:12:00,6
2019-05-09 20:13:00,5
2019-05-09 20:14:00,7
2019-05-09 20:15:00,6
2019-05-09 20:16:00,7
2019-05-09 20:17:00,5
2019-05-09 20:18:00,6
2019-05-09 20:19:00,5
2019-05-09 20:20:00,7
2019-05-09 20:21:00,6
2019-05-09 20:22:00,5
2019-05-09 20:23:00,6
2019-05-09 20:24:00,6
2019-05-09 20:25:00,6
2019-05-09 20:26:00,6
2019-05-09 20:27:00,6
2019-05-09 20:28:00,7
2019-05-09 20:29:00,7
2019-05-09 20:30:00,5
2019-05-09 20:31:00,6
2019-05-09 20:32:00,6
2019-05-09 20:33:00,6
2019-05-09 20:34:00,7
2019-05-09 20:35:00,6
2019-05-09 20:36:00,5
2019-05-09 20:37:00,6
2019-05-09 20:38:00,7
2019-05-09 20:39:00,6
2019-05-09 20:40:00,7
2019-05-09 20:41:00,6
2019-05-09 20:42:00,7
2019-05-09 20:43:00,5
2019-05-09 20:44:00,6
2019-05-09 20:45:00,5
2019-05-09 20:46:00,6
2019-05-09 20:47:00,6
2019-05-09 20:48:00,6
2019-05-09 20:49:00,6
2019-05-09 20:50:00,6
2019-05-09 20:51:00,6
2019-05-09 20:52:00,6
2019-05-09 20:53:00,6
2019-05-09 20:54:00,6
2019-05-09 21:17:00,6
2019-05-09 21:18:00,6
2019-05-09 21:19:00,6
2019-05-09 21:20:00,5
2019-05-09 21:21:00,6
2019-05-09 21:22:00,7
2019-05-09 21:23:00,7
2019-05-09 21:24:00,7
2019-05-09 21:25:00,6
2019-05-09 21:26:00,7
2019-05-09 21:27:00,7
2019-05-09 21:28:00,7
2019-05-09 21:29:00,7
2019-05-09 21:30:00,6
2019-05-09 21:31:00,7
2019-05-09 21:32:00,7
2019-05-09 21:33:00,6
2019-05-09 21:34:00,7
2019-05-09 21:35:00,7
2019-05-09 21:36:00,5
2019-05-09 21:37:00,3
2019-05-09 21:38:00,3
2019-05-09 21:39:00,4
2019-05-09 21:40:00,3
2019-05-09 21:41:00,4
2019-05-09 21:42:00,3
2019-05-09 21:43:00,4
2019-05-09 21:44:00,3
2019-05-09 21:45:00,4
2019-05-09 21:46:00,4
2019-05-09 21:47:00,3
2019-05-09 21:48:00,4
2019-05-09 21:49:00,3
2019-05-09 21:50:00,4
2019-05-09 21:51:00,4
2019-05-09 21:52:00,3
2019-05-09 21:53:00,4
2019-05-09 21:54:00,4
2019-05-09 21:55:00,6
2019-05-09 21:56:00,7
2019-05-09 21:57:00,7
2019-05-09 21:58:00,8
2019-05-09 21:59:00,7
2019-05-09 22:00:00,7
2019-05-09 22:01:00,7
2019-05-09 22:02:00,7
2019-05-09 22:03:00,6
2019-05-09 22:04:00,7
2019-05-09 22:05:00,7
2019-05-09 22:06:00,6
2019-05-09 22:07:00,7
2019-05-09 22:08:00,8
2019-05-09 22:09:00,7
2019-05-09 22:10:00,7
2019-05-09 22:11:00,7
2019-05-09 22:12:00,8
2019-05-09 22:13:00,7
2019-05-09 22:14:00,6
2019-05-09 22:15:00,5
2019-05-09 22:16:00,5
2019-05-09 22:17:00,5
2019-05-09 22:18:00,5
2019-05-09 22:19:00,4
2019-05-09 22:20:00,5
2019-05-09 22:21:00,5
2019-05-09 22:22:00,4
2019-05-09 22:23:00,5
2019-05-09 22:24:00,4
2019-05-09 22:25:00,5
2019-05-09 22:26:00,5
2019-05-09 22:27:00,5
2019-05-09 22:28:00,4
2019-05-09 22:29:00,5
2019-05-09 22:30:00,5
2019-05-09 22:31:00,5
2019-05-09 22:32:00,5
2019-05-09 22:33:00,5
2019-05-09 22:34:00,5
2019-05-09 22:35:00,5
2019-05-09 22:36:00,4
2019-05-09 22:37:00,5
2019-05-09 22:38:00,1
2019-05-09 22:40:00,1
2019-05-09 22:41:00,1
2019-05-09 22:43:00,1
2019-05-09 22:45:00,1
2019-05-09 22:47:00,2
2019-05-09 22:49:00,6
2019-05-09 22:50:00,5
2019-05-09 22:51:00,4
2019-05-09 22:52:00,4
2019-05-09 22:53:00,2
2019-05-09 22:54:00,5
2019-05-09 22:55:00,5
2019-05-09 22:56:00,5
2019-05-09 22:57:00,5
2019-05-09 22:58:00,5
2019-05-09 22:59:00,4
2019-05-09 23:00:00,5
2019-05-09 23:01:00,5
2019-05-09 23:02:00,5
2019-05-09 23:03:00,5
2019-05-09 23:04:00,4
2019-05-09 23:05:00,5
2019-05-09 23:06:00,5
2019-05-09 23:07:00,5
2019-05-09 23:08:00,4
2019-05-09 23:09:00,5
2019-05-09 23:10:00,5
2019-05-09 23:11:00,4
2019-05-09 23:12:00,5
2019-05-09 23:13:00,5
2019-05-09 23:14:00,5
2019-05-09 23:15:00,6
2019-05-09 23:16:00,4
2019-05-09 23:17:00,4
2019-05-09 23:18:00,5
2019-05-09 23:19:00,5
2019-05-09 23:20:00,4
2019-05-09 23:21:00,4
2019-05-09 23:22:00,4
2019-05-09 23:23:00,4
2019-05-09 23:24:00,4
2019-05-09 23:25:00,3
2019-05-09 23:26:00,4
2019-05-09 23:27:00,5
2019-05-09 23:28:00,4
2019-05-09 23:29:00,3
2019-05-09 23:30:00,2
2019-05-09 23:31:00,4
2019-05-09 23:32:00,5
2019-05-09 23:33:00,3
2019-05-09 23:34:00,4
2019-05-09 23:35:00,5
2019-05-09 23:36:00,3
2019-05-09 23:37:00,4
2019-05-09 23:38:00,3
2019-05-09 23:39:00,4
2019-05-09 23:40:00,5
2019-05-09 23:41:00,4
2019-05-09 23:42:00,4
2019-05-09 23:43:00,3
2019-05-09 23:44:00,4
2019-05-09 23:45:00,5
2019-05-09 23:46:00,5
2019-05-09 23:47:00,5
2019-05-09 23:48:00,3
2019-05-09 23:49:00,3
2019-05-09 23:50:00,5
2019-05-09 23:51:00,5
2019-05-09 23:52:00,5
2019-05-09 23:53:00,3
2019-05-09 23:54:00,5
2019-05-09 23:55:00,3
2019-05-09 23:56:00,5
2019-05-09 23:57:00,5
2019-05-09 23:58:00,3
2019-05-09 23:59:00,3
