28,"SELECT g.objID, g.ra, g.dec, q.z, q.zErr, q.class, q.subclass FROM GALAXY as g, SpecObjAll as q WHERE g.objID = q.bestObjID and (g.ra between # and #) and (g.dec between # and #)"
2019-05-14 03:20:00,2
2019-05-14 05:55:00,1
2019-05-14 07:36:00,1
2019-05-14 07:46:00,3
2019-05-14 10:50:00,1
2019-05-14 13:01:00,1
2019-05-14 13:02:00,1
2019-05-14 14:17:00,1
2019-05-14 15:04:00,1
2019-05-14 16:03:00,1
2019-05-14 16:34:00,3
2019-05-14 16:35:00,1
2019-05-14 18:01:00,4
2019-05-14 18:06:00,2
2019-05-14 18:38:00,2
2019-05-14 18:41:00,1
2019-05-14 18:50:00,1
2019-05-14 18:56:00,1
