110,"SELECT s.specObjID as spec_id, dbo.fGetUrlFitsSpectrum(s.specObjId) as spec_url FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE p.ra BETWEEN # AND # AND p.dec BETWEEN # AND # AND p.type=# AND s.snMedian>#"
2019-06-29 05:05:00,2
2019-06-29 05:06:00,5
2019-06-29 05:07:00,5
2019-06-29 05:08:00,5
2019-06-29 05:09:00,6
2019-06-29 05:10:00,4
2019-06-29 05:11:00,1
2019-06-29 05:13:00,1
2019-06-29 05:15:00,2
2019-06-29 05:16:00,2
2019-06-29 05:17:00,2
2019-06-29 05:18:00,2
2019-06-29 05:19:00,1
2019-06-29 05:20:00,3
2019-06-29 05:21:00,2
2019-06-29 05:22:00,3
2019-06-29 05:23:00,2
2019-06-29 05:24:00,3
2019-06-29 05:25:00,3
2019-06-29 05:26:00,4
2019-06-29 05:27:00,5
2019-06-29 05:28:00,5
2019-06-29 05:29:00,5
2019-06-29 05:30:00,5
2019-06-29 05:31:00,2
2019-06-29 05:37:00,4
2019-06-29 18:04:00,5
2019-06-29 18:05:00,2
2019-06-29 18:06:00,3
2019-06-29 18:07:00,3
2019-06-29 18:08:00,3
2019-06-29 18:09:00,4
2019-06-29 18:10:00,5
2019-06-29 18:11:00,1
