5674,"SELECT DISTINCT p.run, p.rerun, p.camcol, p.field FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-06-10 11:47:00,1
2019-06-10 16:53:00,1
2019-06-10 17:22:00,507
2019-06-10 17:23:00,558
2019-06-10 17:24:00,528
2019-06-10 17:25:00,450
2019-06-10 17:26:00,569
2019-06-10 17:27:00,581
2019-06-10 17:28:00,593
2019-06-10 17:29:00,531
2019-06-10 17:30:00,446
2019-06-10 17:31:00,330
2019-06-10 17:32:00,98
2019-06-10 17:33:00,2
2019-06-10 19:34:00,6
2019-06-10 19:35:00,12
2019-06-10 19:36:00,29
2019-06-10 19:37:00,50
2019-06-10 19:38:00,59
2019-06-10 19:39:00,31
2019-06-10 19:40:00,1
2019-06-10 21:02:00,1
2019-06-10 21:03:00,2
2019-06-10 21:04:00,5
2019-06-10 21:05:00,7
2019-06-10 21:06:00,5
2019-06-10 21:07:00,2
2019-06-10 21:48:00,1
2019-06-10 22:24:00,7
2019-06-10 22:25:00,18
2019-06-10 22:26:00,2
2019-06-10 22:27:00,4
2019-06-10 22:28:00,4
2019-06-10 22:30:00,2
2019-06-10 22:49:00,11
2019-06-10 22:50:00,8
2019-06-10 22:51:00,17
2019-06-10 22:52:00,3
2019-06-10 22:53:00,12
2019-06-10 22:54:00,1
2019-06-10 22:55:00,25
2019-06-10 22:56:00,6
2019-06-10 22:57:00,11
2019-06-10 22:59:00,1
2019-06-10 23:00:00,6
2019-06-10 23:07:00,1
2019-06-10 23:09:00,1
2019-06-10 23:17:00,1
2019-06-10 23:18:00,1
2019-06-10 23:24:00,7
2019-06-10 23:26:00,5
2019-06-10 23:27:00,17
2019-06-10 23:28:00,8
2019-06-10 23:29:00,1
2019-06-10 23:30:00,2
2019-06-10 23:31:00,4
2019-06-10 23:32:00,12
2019-06-10 23:33:00,6
2019-06-10 23:34:00,8
2019-06-10 23:35:00,5
2019-06-10 23:36:00,17
2019-06-10 23:37:00,2
2019-06-10 23:38:00,3
2019-06-10 23:40:00,7
2019-06-10 23:41:00,6
2019-06-10 23:42:00,3
2019-06-10 23:43:00,5
2019-06-10 23:44:00,6
2019-06-10 23:45:00,2
