176,select * from stellarMassFSPSGranEarlyDust where specObjId=#
2019-06-10 04:58:00,1
2019-06-10 06:29:00,1
2019-06-10 08:33:00,1
2019-06-10 08:40:00,1
2019-06-10 08:44:00,1
2019-06-10 08:49:00,1
2019-06-10 08:53:00,1
2019-06-10 08:57:00,1
2019-06-10 09:02:00,1
2019-06-10 09:06:00,1
2019-06-10 09:10:00,1
2019-06-10 09:14:00,1
2019-06-10 09:18:00,1
2019-06-10 09:22:00,1
2019-06-10 09:26:00,1
2019-06-10 09:30:00,1
2019-06-10 09:33:00,1
2019-06-10 09:37:00,1
2019-06-10 09:40:00,1
2019-06-10 09:45:00,1
2019-06-10 09:49:00,1
2019-06-10 09:52:00,1
2019-06-10 09:57:00,1
2019-06-10 10:01:00,1
2019-06-10 10:04:00,1
2019-06-10 10:08:00,1
2019-06-10 10:12:00,1
2019-06-10 10:16:00,1
2019-06-10 10:19:00,1
2019-06-10 10:24:00,1
2019-06-10 10:27:00,1
2019-06-10 10:31:00,1
2019-06-10 10:34:00,1
2019-06-10 10:38:00,1
2019-06-10 10:42:00,1
2019-06-10 10:45:00,1
2019-06-10 10:49:00,1
2019-06-10 10:52:00,1
2019-06-10 10:56:00,1
2019-06-10 11:00:00,1
2019-06-10 11:04:00,1
2019-06-10 11:08:00,1
2019-06-10 11:11:00,1
2019-06-10 11:15:00,1
2019-06-10 11:19:00,1
2019-06-10 11:23:00,1
2019-06-10 11:26:00,1
2019-06-10 11:30:00,1
2019-06-10 11:32:00,1
2019-06-10 11:36:00,1
2019-06-10 11:39:00,1
2019-06-10 11:42:00,1
2019-06-10 11:45:00,1
2019-06-10 11:48:00,1
2019-06-10 11:52:00,1
2019-06-10 11:54:00,1
2019-06-10 11:58:00,1
2019-06-10 12:01:00,1
2019-06-10 12:05:00,1
2019-06-10 12:07:00,1
2019-06-10 12:11:00,1
2019-06-10 12:14:00,1
2019-06-10 12:17:00,1
2019-06-10 12:20:00,1
2019-06-10 12:24:00,1
2019-06-10 12:26:00,1
2019-06-10 12:30:00,1
2019-06-10 12:33:00,1
2019-06-10 12:37:00,1
2019-06-10 12:40:00,1
2019-06-10 12:44:00,1
2019-06-10 12:47:00,1
2019-06-10 12:50:00,1
2019-06-10 12:54:00,1
2019-06-10 12:57:00,1
2019-06-10 13:01:00,1
2019-06-10 13:04:00,1
2019-06-10 13:09:00,1
2019-06-10 13:12:00,1
2019-06-10 13:16:00,1
2019-06-10 13:19:00,1
2019-06-10 13:22:00,1
2019-06-10 13:25:00,1
2019-06-10 13:29:00,1
2019-06-10 13:33:00,1
2019-06-10 13:37:00,1
2019-06-10 13:42:00,1
2019-06-10 13:46:00,1
2019-06-10 13:49:00,1
2019-06-10 13:52:00,1
2019-06-10 13:57:00,1
2019-06-10 14:01:00,1
2019-06-10 14:04:00,1
2019-06-10 14:08:00,1
2019-06-10 14:12:00,1
2019-06-10 14:15:00,1
2019-06-10 14:19:00,1
2019-06-10 14:23:00,1
2019-06-10 14:26:00,1
2019-06-10 14:30:00,1
2019-06-10 14:33:00,1
2019-06-10 14:37:00,1
2019-06-10 14:40:00,1
2019-06-10 14:45:00,1
2019-06-10 14:48:00,1
2019-06-10 14:52:00,1
2019-06-10 14:55:00,1
2019-06-10 14:59:00,1
2019-06-10 15:02:00,1
2019-06-10 15:06:00,1
2019-06-10 15:10:00,1
2019-06-10 15:13:00,1
2019-06-10 15:17:00,1
2019-06-10 15:22:00,1
2019-06-10 15:25:00,1
2019-06-10 15:29:00,1
2019-06-10 15:32:00,1
2019-06-10 15:36:00,1
2019-06-10 15:40:00,1
2019-06-10 15:43:00,1
2019-06-10 15:47:00,1
2019-06-10 15:51:00,1
2019-06-10 15:54:00,1
2019-06-10 15:58:00,1
2019-06-10 16:01:00,1
2019-06-10 16:05:00,1
2019-06-10 16:09:00,1
2019-06-10 16:12:00,1
2019-06-10 16:15:00,1
2019-06-10 16:18:00,1
2019-06-10 16:22:00,1
2019-06-10 16:25:00,1
2019-06-10 16:28:00,1
2019-06-10 16:31:00,1
2019-06-10 16:35:00,1
2019-06-10 16:38:00,1
2019-06-10 16:42:00,1
2019-06-10 16:46:00,1
2019-06-10 16:49:00,1
2019-06-10 16:53:00,1
2019-06-10 16:56:00,1
2019-06-10 16:59:00,1
2019-06-10 17:02:00,1
2019-06-10 17:05:00,1
2019-06-10 17:09:00,1
2019-06-10 17:12:00,1
2019-06-10 17:15:00,1
2019-06-10 17:19:00,1
2019-06-10 17:22:00,1
2019-06-10 17:25:00,1
2019-06-10 17:29:00,1
2019-06-10 17:32:00,1
2019-06-10 17:35:00,1
2019-06-10 17:39:00,1
2019-06-10 17:42:00,1
2019-06-10 17:46:00,1
2019-06-10 17:49:00,1
2019-06-10 17:52:00,1
2019-06-10 17:55:00,1
2019-06-10 17:59:00,1
2019-06-10 18:02:00,1
2019-06-10 18:05:00,1
2019-06-10 18:08:00,1
2019-06-10 18:11:00,1
2019-06-10 18:15:00,1
2019-06-10 18:19:00,1
2019-06-10 18:22:00,1
2019-06-10 18:26:00,1
2019-06-10 18:29:00,1
2019-06-10 18:33:00,1
2019-06-10 18:37:00,1
2019-06-10 18:40:00,1
2019-06-10 18:44:00,1
2019-06-10 18:47:00,1
2019-06-10 18:51:00,1
2019-06-10 18:54:00,1
