1398,"SELECT  top # &&& + cast(p.objId as varchar(#)) + &&& + cast(p.objId as varchar(#)) + &&& as objID,    p.run, p.rerun, p.camcol, p.field, p.obj,    p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,    p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z    FROM fGetNearbyObjEq(#,#,#) n JOIN PhotoPrimary p ON n.objID=p.objID"
2019-03-08 00:00:00,2
2019-03-08 00:02:00,2
2019-03-08 00:04:00,3
2019-03-08 00:05:00,1
2019-03-08 00:10:00,1
2019-03-08 00:12:00,2
2019-03-08 00:14:00,3
2019-03-08 00:15:00,1
2019-03-08 00:16:00,2
2019-03-08 00:20:00,1
2019-03-08 00:22:00,2
2019-03-08 00:24:00,3
2019-03-08 00:25:00,1
2019-03-08 00:26:00,1
2019-03-08 00:27:00,1
2019-03-08 00:30:00,1
2019-03-08 00:32:00,2
2019-03-08 00:34:00,3
2019-03-08 00:35:00,1
2019-03-08 00:36:00,1
2019-03-08 00:37:00,1
2019-03-08 00:40:00,1
2019-03-08 00:42:00,3
2019-03-08 00:44:00,3
2019-03-08 00:45:00,1
2019-03-08 00:46:00,1
2019-03-08 00:47:00,1
2019-03-08 00:50:00,1
2019-03-08 00:52:00,2
2019-03-08 00:54:00,4
2019-03-08 00:55:00,1
2019-03-08 00:56:00,1
2019-03-08 00:57:00,1
2019-03-08 01:00:00,1
2019-03-08 01:02:00,2
2019-03-08 01:04:00,3
2019-03-08 01:05:00,1
2019-03-08 01:06:00,1
2019-03-08 01:07:00,1
2019-03-08 01:10:00,1
2019-03-08 01:12:00,2
2019-03-08 01:14:00,3
2019-03-08 01:15:00,1
2019-03-08 01:16:00,1
2019-03-08 01:17:00,1
2019-03-08 01:20:00,1
2019-03-08 01:22:00,2
2019-03-08 01:24:00,3
2019-03-08 01:25:00,1
2019-03-08 01:26:00,2
2019-03-08 01:27:00,1
2019-03-08 01:30:00,1
2019-03-08 01:32:00,2
2019-03-08 01:34:00,3
2019-03-08 01:35:00,1
2019-03-08 01:36:00,1
2019-03-08 01:37:00,1
2019-03-08 01:40:00,1
2019-03-08 01:42:00,2
2019-03-08 01:44:00,3
2019-03-08 01:45:00,2
2019-03-08 01:46:00,1
2019-03-08 01:47:00,1
2019-03-08 01:50:00,1
2019-03-08 01:52:00,2
2019-03-08 01:54:00,3
2019-03-08 01:55:00,1
2019-03-08 01:56:00,2
2019-03-08 01:57:00,1
2019-03-08 02:00:00,1
2019-03-08 02:02:00,2
2019-03-08 02:04:00,3
2019-03-08 02:05:00,1
2019-03-08 02:06:00,2
2019-03-08 02:07:00,1
2019-03-08 02:10:00,1
2019-03-08 02:12:00,2
2019-03-08 02:14:00,4
2019-03-08 02:15:00,1
2019-03-08 02:16:00,1
2019-03-08 02:17:00,1
2019-03-08 02:20:00,1
2019-03-08 02:22:00,2
2019-03-08 02:24:00,4
2019-03-08 02:25:00,1
2019-03-08 02:26:00,1
2019-03-08 02:27:00,1
2019-03-08 02:30:00,1
2019-03-08 02:32:00,2
2019-03-08 02:34:00,3
2019-03-08 02:35:00,1
2019-03-08 02:36:00,2
2019-03-08 02:37:00,1
2019-03-08 02:40:00,1
2019-03-08 02:42:00,2
2019-03-08 02:44:00,4
2019-03-08 02:45:00,1
2019-03-08 02:46:00,1
