62,"SELECT g.objID, g.ra, g.dec, q.z, q.zErr, q.class, q.subclass FROM GALAXY as g, SpecObjAll as q WHERE g.objID = q.bestObjID and (g.ra between # and #) and (g.dec between # and #)"
2019-07-01 02:31:00,1
2019-07-01 06:28:00,1
2019-07-01 06:29:00,1
2019-07-01 11:00:00,2
2019-07-01 12:08:00,1
2019-07-01 13:01:00,1
2019-07-01 13:02:00,2
2019-07-01 13:03:00,1
2019-07-01 13:04:00,11
2019-07-01 13:06:00,1
2019-07-01 13:07:00,3
2019-07-01 13:08:00,17
2019-07-01 13:09:00,8
2019-07-01 13:12:00,2
2019-07-01 13:13:00,2
2019-07-01 13:15:00,1
2019-07-01 13:16:00,1
2019-07-01 16:12:00,1
2019-07-01 18:24:00,1
2019-07-01 18:38:00,1
2019-07-01 18:58:00,1
2019-07-01 23:56:00,2
