3353,"select  	r.run, r.rerun, r.camcol, r.field, f.fieldId, r.stripe, r.strip,  	r.ra, r.dec, r.raMin, r.raMax, r.decMin, r.decMax,  	r.mu, r.nu, r.incl, r.node, 	r.a, r.b, r.c, r.d, r.e, r.f,  	f.quality, 	f.a_u, f.b_u, f.c_u, f.d_u, f.e_u, f.f_u, 	f.a_g, f.b_g, f.c_g, f.d_g, f.e_g, f.f_g, 	f.a_r, f.b_r, f.c_r, f.d_r, f.e_r, f.f_r, 	f.a_i, f.b_i, f.c_i, f.d_i, f.e_i, f.f_i, 	f.a_z, f.b_z, f.c_z, f.d_z, f.e_z, f.f_z,   dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as u_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as g_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as r_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as i_url, 	dbo.fGetUrlFitsCFrame(f.fieldId,&&&) as z_url   from dbo.fGetNearbyFrameEq(#,#,#,#) n, Frame r, Field f   where f.fieldId=r.fieldId and r.fieldId=n.fieldId and r.zoom=#"
2019-07-01 00:02:00,1
2019-07-01 00:03:00,9
2019-07-01 00:04:00,4
2019-07-01 00:05:00,1
2019-07-01 00:08:00,3
2019-07-01 00:12:00,1
2019-07-01 00:13:00,9
2019-07-01 00:14:00,4
2019-07-01 00:15:00,21
2019-07-01 00:17:00,10
2019-07-01 00:18:00,3
2019-07-01 00:21:00,1
2019-07-01 00:22:00,1
2019-07-01 00:23:00,9
2019-07-01 00:24:00,4
2019-07-01 00:25:00,9
2019-07-01 00:27:00,5
2019-07-01 00:28:00,8
2019-07-01 00:29:00,5
2019-07-01 00:30:00,5
2019-07-01 00:32:00,10
2019-07-01 00:33:00,14
2019-07-01 00:34:00,14
2019-07-01 00:35:00,6
2019-07-01 00:36:00,5
2019-07-01 00:37:00,5
2019-07-01 00:38:00,7
2019-07-01 00:40:00,5
2019-07-01 00:41:00,4
2019-07-01 00:42:00,6
2019-07-01 00:43:00,14
2019-07-01 00:44:00,9
2019-07-01 00:45:00,1
2019-07-01 00:46:00,13
2019-07-01 00:47:00,5
2019-07-01 00:48:00,3
2019-07-01 00:49:00,5
2019-07-01 00:50:00,5
2019-07-01 00:51:00,5
2019-07-01 00:52:00,1
2019-07-01 00:53:00,14
2019-07-01 00:54:00,4
2019-07-01 00:55:00,5
2019-07-01 00:56:00,13
2019-07-01 00:57:00,8
2019-07-01 00:58:00,3
2019-07-01 00:59:00,5
2019-07-01 01:02:00,6
2019-07-01 01:03:00,9
2019-07-01 01:04:00,4
2019-07-01 01:05:00,1
2019-07-01 01:06:00,4
2019-07-01 01:07:00,4
2019-07-01 01:08:00,3
2019-07-01 01:09:00,4
2019-07-01 01:10:00,4
2019-07-01 01:12:00,1
2019-07-01 01:13:00,14
2019-07-01 01:14:00,4
2019-07-01 01:15:00,5
2019-07-01 01:18:00,3
2019-07-01 01:22:00,1
2019-07-01 01:23:00,9
2019-07-01 01:24:00,4
2019-07-01 01:26:00,1
2019-07-01 01:28:00,3
2019-07-01 01:29:00,4
2019-07-01 01:32:00,1
2019-07-01 01:33:00,9
2019-07-01 01:34:00,6
2019-07-01 01:36:00,1
2019-07-01 01:38:00,3
2019-07-01 01:42:00,1
2019-07-01 01:43:00,9
2019-07-01 01:44:00,4
2019-07-01 01:46:00,5
2019-07-01 01:48:00,3
2019-07-01 01:52:00,1
2019-07-01 01:53:00,9
2019-07-01 01:54:00,4
2019-07-01 01:55:00,4
2019-07-01 01:56:00,2
2019-07-01 01:58:00,3
2019-07-01 02:02:00,1
2019-07-01 02:03:00,9
2019-07-01 02:04:00,4
2019-07-01 02:06:00,1
2019-07-01 02:08:00,3
2019-07-01 02:13:00,9
2019-07-01 02:14:00,5
2019-07-01 02:16:00,1
2019-07-01 02:18:00,3
2019-07-01 02:23:00,9
2019-07-01 02:24:00,1
2019-07-01 02:25:00,4
2019-07-01 02:26:00,1
2019-07-01 02:28:00,3
2019-07-01 02:33:00,9
2019-07-01 02:34:00,3
2019-07-01 02:35:00,5
2019-07-01 02:36:00,1
2019-07-01 02:38:00,3
2019-07-01 02:43:00,9
2019-07-01 02:44:00,1
2019-07-01 02:45:00,4
2019-07-01 02:46:00,1
2019-07-01 02:47:00,4
2019-07-01 02:48:00,3
2019-07-01 02:53:00,9
2019-07-01 02:54:00,1
2019-07-01 02:55:00,9
2019-07-01 02:56:00,1
2019-07-01 03:00:00,3
2019-07-01 03:03:00,9
2019-07-01 03:04:00,1
2019-07-01 03:05:00,4
2019-07-01 03:06:00,1
2019-07-01 03:10:00,3
2019-07-01 03:13:00,9
2019-07-01 03:14:00,1
2019-07-01 03:15:00,4
