34,"SELECT g.objID, g.ra, g.dec, q.z, q.zErr, q.class, q.subclass FROM GALAXY as g, SpecObjAll as q WHERE g.objID = q.bestObjID and (g.ra between # and #) and (g.dec between # and #)"
2019-07-17 00:06:00,2
2019-07-17 04:15:00,1
2019-07-17 05:41:00,1
2019-07-17 06:17:00,1
2019-07-17 10:16:00,2
2019-07-17 11:58:00,1
2019-07-17 12:07:00,1
2019-07-17 12:50:00,1
2019-07-17 13:01:00,6
2019-07-17 13:02:00,6
2019-07-17 13:03:00,3
2019-07-17 13:04:00,1
2019-07-17 13:18:00,1
2019-07-17 17:09:00,2
2019-07-17 17:10:00,1
2019-07-17 17:13:00,1
2019-07-17 17:47:00,1
2019-07-17 21:51:00,1
2019-07-17 22:40:00,1
