96,"SELECT DISTINCT s.ra, s.dec, s.z, s.zErr FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=#)"
2019-06-03 08:53:00,3
2019-06-03 08:54:00,2
2019-06-03 08:59:00,1
2019-06-03 09:02:00,1
2019-06-03 09:03:00,1
2019-06-03 09:57:00,6
2019-06-03 09:58:00,5
2019-06-03 09:59:00,2
2019-06-03 10:00:00,1
2019-06-03 10:01:00,1
2019-06-03 10:03:00,1
2019-06-03 10:04:00,1
2019-06-03 10:07:00,1
2019-06-03 10:09:00,1
2019-06-03 10:11:00,3
2019-06-03 10:15:00,2
2019-06-03 10:16:00,1
2019-06-03 10:21:00,1
2019-06-03 10:24:00,1
2019-06-03 10:25:00,1
2019-06-03 10:26:00,1
2019-06-03 10:31:00,1
2019-06-03 10:46:00,3
2019-06-03 10:51:00,2
2019-06-03 10:52:00,1
2019-06-03 10:53:00,2
2019-06-03 10:57:00,1
2019-06-03 11:00:00,2
2019-06-03 11:01:00,1
2019-06-03 11:04:00,1
2019-06-03 11:05:00,1
2019-06-03 11:13:00,1
2019-06-03 11:45:00,1
2019-06-03 11:46:00,1
2019-06-03 11:48:00,1
2019-06-03 11:51:00,2
2019-06-03 11:54:00,1
2019-06-03 11:55:00,1
2019-06-03 11:56:00,2
2019-06-03 11:59:00,1
2019-06-03 12:04:00,1
2019-06-03 12:08:00,3
2019-06-03 12:11:00,1
2019-06-03 12:12:00,1
2019-06-03 12:15:00,1
2019-06-03 12:47:00,2
2019-06-03 12:52:00,1
2019-06-03 12:53:00,1
2019-06-03 12:55:00,1
2019-06-03 12:57:00,2
2019-06-03 12:58:00,1
2019-06-03 13:01:00,1
2019-06-03 13:08:00,1
2019-06-03 13:10:00,1
2019-06-03 13:19:00,1
2019-06-03 13:21:00,1
2019-06-03 13:34:00,1
2019-06-03 13:38:00,1
2019-06-03 13:42:00,2
2019-06-03 13:48:00,1
2019-06-03 14:02:00,1
2019-06-03 14:08:00,1
2019-06-03 14:18:00,1
2019-06-03 14:19:00,1
2019-06-03 14:28:00,1
2019-06-03 14:31:00,1
2019-06-03 14:34:00,1
2019-06-03 14:43:00,1
