3438,"SELECT ALL  p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.type,  p.isoA_u, p.isoA_g, p.isoA_r, p.isoA_i, p.isoA_z,  p.isoB_u, p.isoB_g, p.isoB_r, p.isoB_i, p.isoB_z,  p.isoPhi_u, p.isoPhi_g, p.isoPhi_r, p.isoPhi_i, p.isoPhi_z,  p.flags, dbo.fPhotoFlagsN(p.flags)  FROM PhotoObj AS p  WHERE  p.ra BETWEEN # AND # AND p.dec BETWEEN # AND #  AND (p.type = # OR (p.flags & dbo.fPhotoFlags(&&&)) > #)  ORDER by p.r"
2019-08-30 12:19:00,1
2019-08-30 12:25:00,1
2019-08-30 12:28:00,1
2019-08-30 12:50:00,1
2019-08-30 13:21:00,1
2019-08-30 14:21:00,2
2019-08-30 14:23:00,6
2019-08-30 14:24:00,9
2019-08-30 14:25:00,11
2019-08-30 14:26:00,10
2019-08-30 14:27:00,10
2019-08-30 14:28:00,10
2019-08-30 14:29:00,11
2019-08-30 14:30:00,8
2019-08-30 14:31:00,10
2019-08-30 14:32:00,11
2019-08-30 14:33:00,11
2019-08-30 14:34:00,9
2019-08-30 14:35:00,9
2019-08-30 14:36:00,10
2019-08-30 14:37:00,9
2019-08-30 14:38:00,9
2019-08-30 14:39:00,9
2019-08-30 14:40:00,11
2019-08-30 14:41:00,10
2019-08-30 14:42:00,9
2019-08-30 14:43:00,10
2019-08-30 14:44:00,8
2019-08-30 14:45:00,11
2019-08-30 14:46:00,13
2019-08-30 14:47:00,8
2019-08-30 14:48:00,10
2019-08-30 14:49:00,10
2019-08-30 14:50:00,8
2019-08-30 14:51:00,10
2019-08-30 14:52:00,8
2019-08-30 14:53:00,9
2019-08-30 14:54:00,10
2019-08-30 14:55:00,9
2019-08-30 14:56:00,10
2019-08-30 14:57:00,9
2019-08-30 14:58:00,10
2019-08-30 14:59:00,10
2019-08-30 15:00:00,10
2019-08-30 15:01:00,10
2019-08-30 15:02:00,10
2019-08-30 15:03:00,11
2019-08-30 15:04:00,11
2019-08-30 15:05:00,11
2019-08-30 15:06:00,10
2019-08-30 15:07:00,12
2019-08-30 15:08:00,11
2019-08-30 15:09:00,9
2019-08-30 15:10:00,9
2019-08-30 15:11:00,10
2019-08-30 15:12:00,12
2019-08-30 15:13:00,9
2019-08-30 15:14:00,9
2019-08-30 15:15:00,8
2019-08-30 15:16:00,12
2019-08-30 15:17:00,9
2019-08-30 15:18:00,12
2019-08-30 15:19:00,11
2019-08-30 15:20:00,11
2019-08-30 15:21:00,8
2019-08-30 15:22:00,10
2019-08-30 15:23:00,12
2019-08-30 15:24:00,8
2019-08-30 15:25:00,8
2019-08-30 15:26:00,10
2019-08-30 15:27:00,9
2019-08-30 15:28:00,11
2019-08-30 15:29:00,10
2019-08-30 15:30:00,10
2019-08-30 15:31:00,9
2019-08-30 15:32:00,10
2019-08-30 15:33:00,9
2019-08-30 15:34:00,11
2019-08-30 15:35:00,7
2019-08-30 15:36:00,12
2019-08-30 15:37:00,10
2019-08-30 15:38:00,9
2019-08-30 15:39:00,10
2019-08-30 15:40:00,12
2019-08-30 15:41:00,9
2019-08-30 15:42:00,10
2019-08-30 15:43:00,12
2019-08-30 15:44:00,10
2019-08-30 15:45:00,10
2019-08-30 15:46:00,11
2019-08-30 15:47:00,11
2019-08-30 15:48:00,13
2019-08-30 15:49:00,9
2019-08-30 15:50:00,11
2019-08-30 15:51:00,7
2019-08-30 15:52:00,12
2019-08-30 15:53:00,9
2019-08-30 15:54:00,12
2019-08-30 15:55:00,9
2019-08-30 15:56:00,8
2019-08-30 15:57:00,12
2019-08-30 15:58:00,10
2019-08-30 15:59:00,12
2019-08-30 16:00:00,8
2019-08-30 16:01:00,9
2019-08-30 16:02:00,11
2019-08-30 16:03:00,11
2019-08-30 16:04:00,10
2019-08-30 16:05:00,9
2019-08-30 16:06:00,9
2019-08-30 16:07:00,10
2019-08-30 16:08:00,13
2019-08-30 16:09:00,10
2019-08-30 16:10:00,11
2019-08-30 16:11:00,11
2019-08-30 16:12:00,11
2019-08-30 16:13:00,9
2019-08-30 16:14:00,7
2019-08-30 16:15:00,11
2019-08-30 16:16:00,9
2019-08-30 16:17:00,10
2019-08-30 16:18:00,11
2019-08-30 16:19:00,10
2019-08-30 16:20:00,6
2019-08-30 16:21:00,10
2019-08-30 16:22:00,9
2019-08-30 16:23:00,10
2019-08-30 16:24:00,10
2019-08-30 16:25:00,10
2019-08-30 16:26:00,8
2019-08-30 16:27:00,8
2019-08-30 16:28:00,12
2019-08-30 16:29:00,10
2019-08-30 16:30:00,10
2019-08-30 16:31:00,9
2019-08-30 16:32:00,11
2019-08-30 16:33:00,10
2019-08-30 16:34:00,8
2019-08-30 16:35:00,10
2019-08-30 16:36:00,8
2019-08-30 16:37:00,10
2019-08-30 16:38:00,8
2019-08-30 16:39:00,8
2019-08-30 16:40:00,9
2019-08-30 16:41:00,10
2019-08-30 16:42:00,11
2019-08-30 16:43:00,9
2019-08-30 16:44:00,8
2019-08-30 16:45:00,9
2019-08-30 16:46:00,11
2019-08-30 16:47:00,8
2019-08-30 16:48:00,10
2019-08-30 16:49:00,6
2019-08-30 16:50:00,10
2019-08-30 16:51:00,9
2019-08-30 16:52:00,11
2019-08-30 16:53:00,10
2019-08-30 16:54:00,11
2019-08-30 16:55:00,9
2019-08-30 16:56:00,10
2019-08-30 16:57:00,12
2019-08-30 16:58:00,10
2019-08-30 16:59:00,11
2019-08-30 17:00:00,12
2019-08-30 17:01:00,10
2019-08-30 17:02:00,9
2019-08-30 17:03:00,9
2019-08-30 17:04:00,10
2019-08-30 17:05:00,11
2019-08-30 17:06:00,11
2019-08-30 17:07:00,9
2019-08-30 17:08:00,9
2019-08-30 17:09:00,10
2019-08-30 17:10:00,9
2019-08-30 17:11:00,11
2019-08-30 17:12:00,10
2019-08-30 17:13:00,11
2019-08-30 17:14:00,11
2019-08-30 17:15:00,10
2019-08-30 17:16:00,10
2019-08-30 17:17:00,9
2019-08-30 17:18:00,11
2019-08-30 17:19:00,9
2019-08-30 17:20:00,11
2019-08-30 17:21:00,8
2019-08-30 17:22:00,9
2019-08-30 17:23:00,12
2019-08-30 17:24:00,11
2019-08-30 17:25:00,11
2019-08-30 17:26:00,8
2019-08-30 17:27:00,10
2019-08-30 17:28:00,10
2019-08-30 17:29:00,7
2019-08-30 17:30:00,11
2019-08-30 17:31:00,11
2019-08-30 17:32:00,10
2019-08-30 17:33:00,8
2019-08-30 17:34:00,10
2019-08-30 17:35:00,11
2019-08-30 17:36:00,9
2019-08-30 17:37:00,11
2019-08-30 17:38:00,11
2019-08-30 17:39:00,10
2019-08-30 17:40:00,9
2019-08-30 17:41:00,9
2019-08-30 17:42:00,9
2019-08-30 17:43:00,10
2019-08-30 17:44:00,11
2019-08-30 17:45:00,10
2019-08-30 17:46:00,11
2019-08-30 17:47:00,7
2019-08-30 17:48:00,14
2019-08-30 17:49:00,10
2019-08-30 17:50:00,10
2019-08-30 17:51:00,11
2019-08-30 17:52:00,9
2019-08-30 17:53:00,9
2019-08-30 17:54:00,12
2019-08-30 17:55:00,10
2019-08-30 17:56:00,12
2019-08-30 17:57:00,10
2019-08-30 17:58:00,10
2019-08-30 17:59:00,11
2019-08-30 18:00:00,11
2019-08-30 18:01:00,10
2019-08-30 18:02:00,9
2019-08-30 18:03:00,11
2019-08-30 18:04:00,11
2019-08-30 18:05:00,10
2019-08-30 18:06:00,10
2019-08-30 18:07:00,7
2019-08-30 18:08:00,9
2019-08-30 18:09:00,11
2019-08-30 18:10:00,9
2019-08-30 18:11:00,9
2019-08-30 18:12:00,8
2019-08-30 18:13:00,10
2019-08-30 18:14:00,11
2019-08-30 18:15:00,10
2019-08-30 18:16:00,10
2019-08-30 18:17:00,8
2019-08-30 18:18:00,11
2019-08-30 18:19:00,12
2019-08-30 18:20:00,11
2019-08-30 18:21:00,10
2019-08-30 18:22:00,10
2019-08-30 18:23:00,9
2019-08-30 18:24:00,12
2019-08-30 18:25:00,9
2019-08-30 18:26:00,9
2019-08-30 18:27:00,9
2019-08-30 18:28:00,11
2019-08-30 18:29:00,11
2019-08-30 18:30:00,9
2019-08-30 18:31:00,10
2019-08-30 18:32:00,8
2019-08-30 18:33:00,11
2019-08-30 18:34:00,9
2019-08-30 18:35:00,10
2019-08-30 18:36:00,11
2019-08-30 18:37:00,9
2019-08-30 18:38:00,11
2019-08-30 18:39:00,9
2019-08-30 18:40:00,11
2019-08-30 18:41:00,10
2019-08-30 18:42:00,11
2019-08-30 18:43:00,10
2019-08-30 18:44:00,8
2019-08-30 18:45:00,11
2019-08-30 18:46:00,10
2019-08-30 18:47:00,10
2019-08-30 18:48:00,8
2019-08-30 18:49:00,9
2019-08-30 18:50:00,12
2019-08-30 18:51:00,7
2019-08-30 18:52:00,11
2019-08-30 18:53:00,9
2019-08-30 18:54:00,11
2019-08-30 18:55:00,10
2019-08-30 18:56:00,10
2019-08-30 18:57:00,12
2019-08-30 18:58:00,10
2019-08-30 18:59:00,11
2019-08-30 19:00:00,9
2019-08-30 19:01:00,13
2019-08-30 19:02:00,8
2019-08-30 19:03:00,9
2019-08-30 19:04:00,11
2019-08-30 19:05:00,9
2019-08-30 19:06:00,12
2019-08-30 19:07:00,9
2019-08-30 19:08:00,11
2019-08-30 19:09:00,9
2019-08-30 19:10:00,10
2019-08-30 19:11:00,11
2019-08-30 19:12:00,10
2019-08-30 19:13:00,9
2019-08-30 19:14:00,11
2019-08-30 19:15:00,8
2019-08-30 19:16:00,11
2019-08-30 19:17:00,11
2019-08-30 19:18:00,9
2019-08-30 19:19:00,9
2019-08-30 19:20:00,11
2019-08-30 19:21:00,11
2019-08-30 19:22:00,10
2019-08-30 19:23:00,10
2019-08-30 19:24:00,8
2019-08-30 19:25:00,10
2019-08-30 19:26:00,10
2019-08-30 19:27:00,9
2019-08-30 19:28:00,9
2019-08-30 19:29:00,11
2019-08-30 19:30:00,10
2019-08-30 19:31:00,12
2019-08-30 19:32:00,12
2019-08-30 19:33:00,8
2019-08-30 19:34:00,12
2019-08-30 19:35:00,11
2019-08-30 19:36:00,12
2019-08-30 19:37:00,9
2019-08-30 19:38:00,9
2019-08-30 19:39:00,11
2019-08-30 19:40:00,11
2019-08-30 19:41:00,11
2019-08-30 19:42:00,8
2019-08-30 19:43:00,11
2019-08-30 19:44:00,9
2019-08-30 19:45:00,13
2019-08-30 19:46:00,11
2019-08-30 19:47:00,10
2019-08-30 19:48:00,13
2019-08-30 19:49:00,10
2019-08-30 19:50:00,10
2019-08-30 19:51:00,10
2019-08-30 19:52:00,10
2019-08-30 19:53:00,10
2019-08-30 19:54:00,11
2019-08-30 19:55:00,11
2019-08-30 19:56:00,11
2019-08-30 19:57:00,13
2019-08-30 19:58:00,12
2019-08-30 19:59:00,9
2019-08-30 20:00:00,8
2019-08-30 20:01:00,11
2019-08-30 20:02:00,11
2019-08-30 20:03:00,10
2019-08-30 20:04:00,8
2019-08-30 20:05:00,11
2019-08-30 20:06:00,7
2019-08-30 20:07:00,4
