38,"select TwoMASS.OBJID, t.w1mag, t.w2mag, t.w3mag, t.w4mag from WISE_allsky t, TwoMASS where t.tmass_key=TwoMASS.ptsKey and TwoMASS.OBJID=#"
2019-04-11 12:46:00,1
2019-04-11 13:13:00,1
2019-04-11 13:15:00,1
2019-04-11 13:21:00,1
2019-04-11 13:23:00,1
2019-04-11 13:24:00,1
2019-04-11 13:25:00,1
2019-04-11 13:26:00,1
2019-04-11 13:28:00,1
2019-04-11 13:29:00,1
2019-04-11 13:32:00,1
2019-04-11 13:34:00,1
2019-04-11 13:42:00,1
2019-04-11 13:44:00,1
2019-04-11 13:45:00,1
2019-04-11 13:46:00,1
2019-04-11 13:47:00,1
2019-04-11 13:50:00,1
2019-04-11 13:51:00,1
2019-04-11 14:02:00,1
2019-04-11 14:04:00,1
2019-04-11 14:14:00,1
2019-04-11 14:17:00,1
2019-04-11 14:21:00,1
2019-04-11 14:24:00,1
2019-04-11 14:42:00,2
2019-04-11 14:47:00,1
2019-04-11 14:48:00,2
2019-04-11 14:50:00,1
2019-04-11 14:57:00,2
2019-04-11 14:58:00,1
2019-04-11 15:04:00,4
