4353,"SELECT TOP # G.objID,G.ra,G.dec,GN.distance, PZ.z as photoz, PZ.zErr as photoz_err, S.z as specz FROM Galaxy as G JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON G.objID = GN.objID JOIN Photoz AS PZ ON PZ.objID = GN.objID LEFT JOIN Specobj AS S ON PZ.objID = S.bestObjID ORDER BY distance"
2019-11-25 20:17:00,44
2019-11-25 20:18:00,56
2019-11-25 20:20:00,1
2019-11-25 20:21:00,51
2019-11-25 20:22:00,51
2019-11-25 20:23:00,52
2019-11-25 20:24:00,50
2019-11-25 20:25:00,50
2019-11-25 20:26:00,54
2019-11-25 20:27:00,53
2019-11-25 20:28:00,61
2019-11-25 20:29:00,56
2019-11-25 20:30:00,60
2019-11-25 20:31:00,67
2019-11-25 20:32:00,70
2019-11-25 20:33:00,61
2019-11-25 20:34:00,58
2019-11-25 20:35:00,63
2019-11-25 20:36:00,63
2019-11-25 20:37:00,66
2019-11-25 20:38:00,60
2019-11-25 20:39:00,61
2019-11-25 20:40:00,61
2019-11-25 20:41:00,60
2019-11-25 20:42:00,65
2019-11-25 20:43:00,71
2019-11-25 20:44:00,74
2019-11-25 20:45:00,72
2019-11-25 20:46:00,71
2019-11-25 20:47:00,69
2019-11-25 20:48:00,68
2019-11-25 20:49:00,69
2019-11-25 20:50:00,64
2019-11-25 20:51:00,70
2019-11-25 20:52:00,68
2019-11-25 20:53:00,64
2019-11-25 20:54:00,55
2019-11-25 20:55:00,61
2019-11-25 20:56:00,58
2019-11-25 20:57:00,53
2019-11-25 20:58:00,57
2019-11-25 20:59:00,58
2019-11-25 21:00:00,70
2019-11-25 21:01:00,65
2019-11-25 21:02:00,66
2019-11-25 21:03:00,67
2019-11-25 21:04:00,63
2019-11-25 21:05:00,64
2019-11-25 21:06:00,67
2019-11-25 21:07:00,63
2019-11-25 21:08:00,63
2019-11-25 21:09:00,70
2019-11-25 21:10:00,62
2019-11-25 21:11:00,59
2019-11-25 21:12:00,63
2019-11-25 21:13:00,53
2019-11-25 21:14:00,54
2019-11-25 21:15:00,60
2019-11-25 21:16:00,60
2019-11-25 21:17:00,56
2019-11-25 21:18:00,62
2019-11-25 21:19:00,56
2019-11-25 21:20:00,47
2019-11-25 21:21:00,50
2019-11-25 21:22:00,50
2019-11-25 21:23:00,52
2019-11-25 21:24:00,42
2019-11-25 21:25:00,49
2019-11-25 21:26:00,51
2019-11-25 21:27:00,60
2019-11-25 21:28:00,55
2019-11-25 21:29:00,53
2019-11-25 21:30:00,59
2019-11-25 21:31:00,30
2019-11-25 21:35:00,16
