24,"SELECT TOP # s.plate,s.mjd,s.fiberid,s.elodieSpType FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid=p.objid WHERE s.class=&&&"
2019-03-09 08:35:00,1
2019-03-09 09:35:00,2
2019-03-09 09:36:00,1
2019-03-09 09:37:00,1
2019-03-09 09:39:00,2
2019-03-09 10:53:00,1
2019-03-09 11:42:00,1
2019-03-09 16:37:00,1
2019-03-09 16:40:00,1
2019-03-09 16:45:00,1
2019-03-09 16:51:00,1
2019-03-09 16:59:00,1
2019-03-09 17:01:00,1
2019-03-09 17:04:00,1
2019-03-09 17:06:00,1
2019-03-09 17:08:00,1
2019-03-09 17:11:00,1
2019-03-09 17:20:00,1
2019-03-09 17:23:00,2
2019-03-09 17:25:00,1
2019-03-09 17:30:00,1
