55297,"SELECT z, ra, dec, objID FROM SPECPhoto WHERE z> # AND z< # AND ra> # AND ra< # AND dec> # AND dec< # AND type=#"
2019-02-03 08:08:00,1073
2019-02-03 08:09:00,310
2019-02-03 09:08:00,370
2019-02-03 09:11:00,626
2019-02-03 09:19:00,179
2019-02-03 09:20:00,1605
2019-02-03 09:21:00,5004
2019-02-03 09:22:00,274
2019-02-03 10:52:00,354
2019-02-03 10:55:00,368
2019-02-03 10:57:00,39297
2019-02-03 10:58:00,2585
2019-02-03 10:59:00,396
2019-02-03 11:13:00,356
2019-02-03 11:16:00,1834
2019-02-03 16:19:00,288
2019-02-03 16:23:00,378
