180,"SELECT g.objID, g.ra, g.dec, q.z, q.zErr, q.class, q.subclass FROM GALAXY as g, SpecObjAll as q WHERE g.objID = q.bestObjID and (g.ra between # and #) and (g.dec between # and #)"
2019-02-01 06:05:00,1
2019-02-01 07:08:00,1
2019-02-01 09:01:00,2
2019-02-01 09:02:00,1
2019-02-01 09:37:00,2
2019-02-01 14:27:00,1
2019-02-01 15:05:00,1
2019-02-01 15:29:00,3
2019-02-01 15:30:00,13
2019-02-01 15:31:00,16
2019-02-01 15:32:00,16
2019-02-01 15:33:00,16
2019-02-01 15:34:00,16
2019-02-01 15:35:00,16
2019-02-01 15:36:00,14
2019-02-01 15:37:00,16
2019-02-01 15:38:00,16
2019-02-01 15:39:00,16
2019-02-01 15:40:00,11
2019-02-01 18:00:00,1
2019-02-01 19:06:00,1
