16,"select p.ra, p.dec, no.distance from PhotoObj as p, dbo.fGetNearestObjEq(#,#,#) as no where p.objID = no.objID"
2019-07-20 22:41:00,1
2019-07-20 22:42:00,1
2019-07-20 22:47:00,1
2019-07-20 22:48:00,1
2019-07-20 22:49:00,1
2019-07-20 22:52:00,1
2019-07-20 22:54:00,1
2019-07-20 22:56:00,1
2019-07-20 23:00:00,1
2019-07-20 23:02:00,1
2019-07-20 23:05:00,2
2019-07-20 23:07:00,1
2019-07-20 23:09:00,2
2019-07-20 23:11:00,1
