1022,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.petroR9#_u, p.petroR9#_g, p.petroR9#_r, p.petroR9#_i, p.petroR9#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-03-10 22:17:00,5
2019-03-10 22:18:00,3
2019-03-10 22:19:00,4
2019-03-10 22:20:00,2
2019-03-10 22:21:00,3
2019-03-10 22:22:00,4
2019-03-10 22:23:00,4
2019-03-10 22:24:00,3
2019-03-10 22:25:00,4
2019-03-10 22:26:00,3
2019-03-10 22:27:00,4
2019-03-10 22:28:00,2
2019-03-10 22:29:00,3
2019-03-10 22:30:00,5
2019-03-10 22:31:00,3
2019-03-10 22:32:00,4
2019-03-10 22:33:00,4
2019-03-10 22:34:00,4
2019-03-10 22:35:00,5
2019-03-10 22:36:00,6
2019-03-10 22:37:00,4
2019-03-10 22:38:00,4
2019-03-10 22:39:00,4
2019-03-10 22:40:00,3
2019-03-10 22:41:00,4
2019-03-10 22:42:00,3
