5252,"select                                                                              G.objID, G.ra, G.dec,                                                       G.petroMag_u, G.petroMag_g, G.petroMag_r, G.petroMag_i, G.petroMag_z,                      G.petroMagErr_u, G.petroMagErr_g, G.petroMagErr_r, G.petroMagErr_i, G.petroMagErr_z,       ph.z,G.petroR9#_r,G.petroR5#_r                                                                    from                                                                                              Galaxy as G, dbo.fGetNearbyObjEq(#,#,#) as N, photoz as ph                       where                                                                                             G.objID = N.objID and                                                                      ph.objID = N.objID and                                                                     ph.z># and                                                                                ph.z<#"
2019-11-21 11:07:00,1
2019-11-21 11:08:00,12
2019-11-21 11:09:00,13
2019-11-21 11:10:00,13
2019-11-21 11:11:00,11
2019-11-21 11:12:00,13
2019-11-21 11:13:00,13
2019-11-21 11:14:00,13
2019-11-21 11:15:00,13
2019-11-21 11:16:00,11
2019-11-21 11:17:00,14
2019-11-21 11:18:00,15
2019-11-21 11:19:00,11
2019-11-21 11:20:00,14
2019-11-21 11:21:00,13
2019-11-21 11:22:00,13
2019-11-21 11:23:00,15
2019-11-21 11:24:00,14
2019-11-21 11:25:00,15
2019-11-21 11:26:00,14
2019-11-21 11:27:00,13
2019-11-21 11:28:00,15
2019-11-21 11:29:00,14
2019-11-21 11:30:00,15
2019-11-21 11:31:00,11
2019-11-21 11:32:00,14
2019-11-21 11:33:00,10
2019-11-21 11:34:00,16
2019-11-21 11:35:00,15
2019-11-21 11:36:00,14
2019-11-21 11:37:00,14
2019-11-21 11:38:00,13
2019-11-21 11:39:00,13
2019-11-21 11:40:00,14
2019-11-21 11:41:00,15
2019-11-21 11:42:00,15
2019-11-21 11:43:00,12
2019-11-21 11:44:00,15
2019-11-21 11:45:00,16
2019-11-21 11:46:00,12
2019-11-21 11:47:00,13
2019-11-21 11:48:00,13
2019-11-21 11:49:00,14
2019-11-21 11:50:00,15
2019-11-21 11:51:00,13
2019-11-21 11:52:00,13
2019-11-21 11:53:00,14
2019-11-21 11:54:00,14
2019-11-21 11:55:00,13
2019-11-21 11:56:00,14
2019-11-21 11:57:00,16
2019-11-21 11:58:00,11
2019-11-21 11:59:00,16
2019-11-21 12:00:00,12
2019-11-21 12:01:00,14
