77,select objid from photoprimary where photoprimary.dec between # and # and photoprimary.ra between # and # and photoprimary.g between # and # and photoprimary.i between # and # and photoprimary.r between # and # and photoprimary.u between # and # and photoprimary.z between # and #
2019-02-27 06:50:00,3
2019-02-27 06:54:00,1
2019-02-27 06:56:00,1
2019-02-27 06:58:00,1
2019-02-27 07:00:00,3
2019-02-27 07:07:00,1
2019-02-27 07:12:00,1
2019-02-27 07:15:00,1
2019-02-27 07:17:00,1
2019-02-27 07:21:00,1
2019-02-27 07:22:00,1
2019-02-27 07:27:00,2
2019-02-27 07:35:00,1
2019-02-27 07:36:00,1
2019-02-27 07:40:00,1
2019-02-27 07:41:00,10
2019-02-27 07:42:00,5
2019-02-27 07:46:00,42
