165,select * from stellarMassFSPSGranEarlyDust where specObjId=#
2019-07-10 00:00:00,1
2019-07-10 00:02:00,1
2019-07-10 00:04:00,1
2019-07-10 00:05:00,1
2019-07-10 00:07:00,1
2019-07-10 00:10:00,1
2019-07-10 00:11:00,1
2019-07-10 00:13:00,1
2019-07-10 00:14:00,1
2019-07-10 00:16:00,1
2019-07-10 00:17:00,1
2019-07-10 00:19:00,1
2019-07-10 00:20:00,1
2019-07-10 00:22:00,1
2019-07-10 00:24:00,1
2019-07-10 00:26:00,1
2019-07-10 00:27:00,1
2019-07-10 00:30:00,1
2019-07-10 00:33:00,1
2019-07-10 00:36:00,1
2019-07-10 00:39:00,1
2019-07-10 00:41:00,1
2019-07-10 00:44:00,1
2019-07-10 00:46:00,1
2019-07-10 00:47:00,1
2019-07-10 00:49:00,1
2019-07-10 00:51:00,1
2019-07-10 00:52:00,1
2019-07-10 00:54:00,1
2019-07-10 00:56:00,1
2019-07-10 00:58:00,1
2019-07-10 01:00:00,1
2019-07-10 01:03:00,1
2019-07-10 01:04:00,1
2019-07-10 01:06:00,1
2019-07-10 01:07:00,1
2019-07-10 01:09:00,1
2019-07-10 01:11:00,1
2019-07-10 01:12:00,1
2019-07-10 01:14:00,1
2019-07-10 01:16:00,1
2019-07-10 01:18:00,1
2019-07-10 01:20:00,1
2019-07-10 01:21:00,1
2019-07-10 01:22:00,1
2019-07-10 01:23:00,1
2019-07-10 01:24:00,1
2019-07-10 01:26:00,1
2019-07-10 01:28:00,1
2019-07-10 01:30:00,1
2019-07-10 01:32:00,1
2019-07-10 01:34:00,1
2019-07-10 01:36:00,1
2019-07-10 01:38:00,1
2019-07-10 01:39:00,1
2019-07-10 01:41:00,1
2019-07-10 01:43:00,1
2019-07-10 01:45:00,1
2019-07-10 01:46:00,1
2019-07-10 01:48:00,1
2019-07-10 01:50:00,1
2019-07-10 01:51:00,1
2019-07-10 01:53:00,1
2019-07-10 01:55:00,1
2019-07-10 01:56:00,1
2019-07-10 01:57:00,1
2019-07-10 01:59:00,1
2019-07-10 02:01:00,1
2019-07-10 02:03:00,1
2019-07-10 02:05:00,1
2019-07-10 02:07:00,1
2019-07-10 02:08:00,1
2019-07-10 02:09:00,1
2019-07-10 02:11:00,1
2019-07-10 02:13:00,1
2019-07-10 02:14:00,1
2019-07-10 02:15:00,1
2019-07-10 02:16:00,1
2019-07-10 02:18:00,1
2019-07-10 02:19:00,1
2019-07-10 02:21:00,1
2019-07-10 02:23:00,1
2019-07-10 02:25:00,1
2019-07-10 02:27:00,1
2019-07-10 02:29:00,1
2019-07-10 02:30:00,1
2019-07-10 02:32:00,1
2019-07-10 02:33:00,1
2019-07-10 02:35:00,1
2019-07-10 02:37:00,1
2019-07-10 02:38:00,1
2019-07-10 02:40:00,1
2019-07-10 02:42:00,1
2019-07-10 02:43:00,1
2019-07-10 02:45:00,1
2019-07-10 02:46:00,1
2019-07-10 02:48:00,1
2019-07-10 02:49:00,1
2019-07-10 02:50:00,1
2019-07-10 02:51:00,1
2019-07-10 02:53:00,1
2019-07-10 02:55:00,1
2019-07-10 02:57:00,1
2019-07-10 02:59:00,1
2019-07-10 03:00:00,1
2019-07-10 03:02:00,1
2019-07-10 03:04:00,1
2019-07-10 03:06:00,1
2019-07-10 03:07:00,1
2019-07-10 03:09:00,1
2019-07-10 03:10:00,1
2019-07-10 03:12:00,1
2019-07-10 03:14:00,1
2019-07-10 03:15:00,1
2019-07-10 03:17:00,1
2019-07-10 03:19:00,1
2019-07-10 03:20:00,1
2019-07-10 03:21:00,1
2019-07-10 03:23:00,1
2019-07-10 03:25:00,1
2019-07-10 03:26:00,1
2019-07-10 03:28:00,1
2019-07-10 03:29:00,1
2019-07-10 03:30:00,1
2019-07-10 03:31:00,1
2019-07-10 03:33:00,1
2019-07-10 03:35:00,1
2019-07-10 03:37:00,1
2019-07-10 03:38:00,1
2019-07-10 03:39:00,1
2019-07-10 03:41:00,1
2019-07-10 03:43:00,1
2019-07-10 03:44:00,1
2019-07-10 03:46:00,1
2019-07-10 03:48:00,1
2019-07-10 03:49:00,1
2019-07-10 03:51:00,1
2019-07-10 03:53:00,1
2019-07-10 03:54:00,1
2019-07-10 03:55:00,1
2019-07-10 03:57:00,1
2019-07-10 03:58:00,1
2019-07-10 04:26:00,1
2019-07-10 05:33:00,1
2019-07-10 05:46:00,1
2019-07-10 07:42:00,1
2019-07-10 07:44:00,1
2019-07-10 07:45:00,1
2019-07-10 07:52:00,1
2019-07-10 07:59:00,1
2019-07-10 09:48:00,1
2019-07-10 10:37:00,1
2019-07-10 11:55:00,1
2019-07-10 13:01:00,1
2019-07-10 13:44:00,1
2019-07-10 13:55:00,1
2019-07-10 15:43:00,1
2019-07-10 16:02:00,1
2019-07-10 16:43:00,1
2019-07-10 16:58:00,1
2019-07-10 18:45:00,1
2019-07-10 19:09:00,1
2019-07-10 20:38:00,1
2019-07-10 21:29:00,1
2019-07-10 23:59:00,1
