87,select * from stellarMassFSPSGranEarlyNoDust where specObjId=#
2019-05-19 18:45:00,1
2019-05-19 18:46:00,1
2019-05-19 18:48:00,1
2019-05-19 18:49:00,1
2019-05-19 18:51:00,1
2019-05-19 18:53:00,1
2019-05-19 18:54:00,1
2019-05-19 18:56:00,1
2019-05-19 18:58:00,1
2019-05-19 19:00:00,1
2019-05-19 19:02:00,1
2019-05-19 19:04:00,1
2019-05-19 19:05:00,1
2019-05-19 19:06:00,1
2019-05-19 19:08:00,1
2019-05-19 19:10:00,1
2019-05-19 19:11:00,1
2019-05-19 19:13:00,1
2019-05-19 19:14:00,1
2019-05-19 19:16:00,1
2019-05-19 19:18:00,1
2019-05-19 19:19:00,1
2019-05-19 19:21:00,1
2019-05-19 19:23:00,1
2019-05-19 19:24:00,1
2019-05-19 19:26:00,1
2019-05-19 19:27:00,1
2019-05-19 19:29:00,1
2019-05-19 19:30:00,1
2019-05-19 19:32:00,1
2019-05-19 19:34:00,1
2019-05-19 19:36:00,1
2019-05-19 19:38:00,1
2019-05-19 19:39:00,1
2019-05-19 19:41:00,1
2019-05-19 19:43:00,1
2019-05-19 19:44:00,1
2019-05-19 19:46:00,1
2019-05-19 19:48:00,1
2019-05-19 19:49:00,1
2019-05-19 19:50:00,1
2019-05-19 19:52:00,1
2019-05-19 19:54:00,1
2019-05-19 19:55:00,1
2019-05-19 19:57:00,1
2019-05-19 19:59:00,1
2019-05-19 20:00:00,1
2019-05-19 20:02:00,1
2019-05-19 20:04:00,1
2019-05-19 20:05:00,1
2019-05-19 20:07:00,1
2019-05-19 20:08:00,1
2019-05-19 20:09:00,1
2019-05-19 20:11:00,1
2019-05-19 20:13:00,1
2019-05-19 20:15:00,1
2019-05-19 20:16:00,1
2019-05-19 20:18:00,1
2019-05-19 20:20:00,1
2019-05-19 20:21:00,1
2019-05-19 20:23:00,1
2019-05-19 20:24:00,1
2019-05-19 20:26:00,1
2019-05-19 20:28:00,1
2019-05-19 20:29:00,1
2019-05-19 20:31:00,1
2019-05-19 20:33:00,1
2019-05-19 20:35:00,1
2019-05-19 20:36:00,1
2019-05-19 20:37:00,1
2019-05-19 20:39:00,1
2019-05-19 20:41:00,1
2019-05-19 20:42:00,1
2019-05-19 20:44:00,1
2019-05-19 20:45:00,1
2019-05-19 20:47:00,1
2019-05-19 20:49:00,1
2019-05-19 20:50:00,1
2019-05-19 20:51:00,1
2019-05-19 20:53:00,1
2019-05-19 20:55:00,1
2019-05-19 20:56:00,1
2019-05-19 20:57:00,1
2019-05-19 20:59:00,1
2019-05-19 21:00:00,1
2019-05-19 21:01:00,1
2019-05-19 21:02:00,1
